verdict,shared_via,shared_value,n_clubs,clubs,cities,provinces,multi_city,decision,reviewer,notes
DUPLICATE,phone,5063782880,2,506 Elite (TH Sports Group) | 506 Elite Jr Academy,Moncton | Moncton/Irishtown,New Brunswick | Ontario,yes,,,
DUPLICATE,phone,7097828400,2,CE23 Academy | CE23 Academy (CE23 Basketball),Newfoundland | Paradise,Newfoundland & Labrador,yes,,,
DUPLICATE,email,bmarsden@mun.ca,2,"Grenfell Jr Warriors (Grenfell Warriors Junior/Youth Basketball, Memorial University Grenfell Campus) | Grenfell Junior Warriors (Grenfell Campus Athletics youth basketball)",Corner Brook,Newfoundland & Labrador,,,,
DUPLICATE,email,axebasketballclub@gmail.com,2,Axe Basketball Club | Axe Basketball Club,Kentville (serves Hantsport to New Minas corridor) | Wolfville,Nova Scotia,yes,,,
DUPLICATE,email,contact@alphaelitesportsgroup.com,2,Alpha Elite Sports Group | Alpha Elite Sports Group,Toronto ON,Ontario,,,,
DUPLICATE,phone,9053897834,2,Blessed Sacrament Basketball | Blessed Sacrament BC (Yellow Jackets),HAMILTON ON (not Toronto) | Hamilton,Ontario,yes,,,
DUPLICATE,email,info@bramptoncityprep.com,2,Brampton City Prep (BCP) | Brampton City Prep (BCP),Brampton | Etobicoke ON,Ontario,yes,,,
DUPLICATE,email,contact@caliprepacademy.com,2,CALI | CALI Prep Academy,Pickering,Ontario,,,,
DUPLICATE,phone,9055223581,2,Cathedral High School | Cathedral HS (Gaels),Hamilton | Hamilton ON,Ontario,yes,,,
DUPLICATE,email,info@ckatt.com,2,CKATT (Cooksville) | CKATT Basketball,Mississauga,Ontario,,,,
DUPLICATE,email,coachfelix@d3psports.com,2,D3P Sports (D3P Basketball / D3P All Abilities / D3P Fitness) | D3P Sports (D3P Basketball / D3P All Abilities / D3P Fitness),Brampton | Caledon,Ontario,yes,,,
DUPLICATE,email,info@dreamchaserzzz.ca,2,Dream Chaserzzz | Dream Chaserzzz Academy,,Ontario,,,,
DUPLICATE,email,info@easternbasketball.ca,2,Eastern Basketball Academy | Eastern Basketball Association,Oshawa / Pickering / Ajax / Whitby / Clarington,Ontario,,,,
DUPLICATE,email,info@eltonacademy.ca,2,Elton Academy | Elton Academy Basketball Program,Richmond Hill,Ontario,,,,
DUPLICATE,email,info@feia.ca,2,FEIA | Fort Erie International Academy (FEIA),Fort Erie,Ontario,,,,
DUPLICATE,phone,6478869561,2,Gators | Gators Basketball,,Ontario,,,,
DUPLICATE,phone,6472063730,2,Gators Basketball Academy (Markham Gators) | Gators Basketball Academy (Markham Gators),Markham ON | Markham/Durham/Richmond Hill,Ontario,yes,,,
DUPLICATE,phone,6478785134,2,J17 Basketball | TCBL Basketball,"Markham (190 Allstate Pkwy #102, Markham, ON L3R 6H3)",Ontario,,,,
DUPLICATE,phone,4163935527,2,James Cardinal McGuigan | James Cardinal McGuigan CHS (Wolfpact),North York ON | Toronto (North York),Ontario,yes,,,
DUPLICATE,phone,4166355516,2,JCC Maccabi Warriors | JCC Warriors,JCC likely = a Jewish Community Centre branch | Toronto ON,Ontario,yes,,,
DUPLICATE,email,support@jumpbasketball.ca,2,JUMP Basketball | JUMP Basketball Mississauga Association,Mississauga | Mississauga/Brampton/Oakville/Milton/Burlington/Vaughan/Oshawa,Ontario,yes,,,
DUPLICATE,email,infok9elite@gmail.com,2,K9 Elite | K9 Elite Hoopers,,Ontario,,,,
DUPLICATE,email,londonbasketballacademy@gmail.com,2,LBA (London Basketball Academy) | London Basketball Academy (LBA Prep),London,Ontario,,,,
DUPLICATE,email,info@mandrbasketball.ca,2,M & R Basketball | M & R Basketball,Markham ON | Markham/Ajax,Ontario,yes,,,
DUPLICATE,email,info@newhorizonbasketball.com,2,New Horizon Basketball | New Horizon Basketball Academy,,Ontario,,,,
DUPLICATE,email,dpicton@niagarabasketballacademy.com,2,Niagara Basketball Academy | Niagara Girls Basketball Academy (NGBA),Niagara | Niagara Region,Ontario,yes,,,
DUPLICATE,email,norfolkyba@gmail.com,2,Norfolk Youth Basketball Association | Norfolk Youth Basketball Association,Simcoe (Norfolk County) | Waterford / Norfolk County,Ontario,yes,,,
DUPLICATE,phone,5878997473,2,Rise Basketball | Rise Basketball,Toronto/GTA,Ontario,,,,
DUPLICATE,email,lisa@sbablues.ca,2,SBA Blues | Scarborough Blues (SBA),Scarborough,Ontario,,,,
DUPLICATE,email,info@sc-academy.ca,2,SC Academy | SC Academy Prep,Vaughan/Toronto,Ontario,,,,
DUPLICATE,email,info@simcoeunitedbasketball.com,2,Simcoe United | Simcoe United Spartans,Barrie/Simcoe County | Simcoe,Ontario,yes,,,
DUPLICATE,email,smithsfallsstorm@gmail.com,2,Smith Falls Hawks | Smiths Falls,Smiths Falls,Ontario,,,,
DUPLICATE,phone,9057165339,2,South Simcoe Basketball Club | South Simcoe Basketball Club,"Bradford (regional club; explicitly covers Alliston, Cookstown, Beeton, Tottenham — all in New Tecumseth/west of Hwy 400) | Innisfil / Bradford West Gwillimbury",Ontario,yes,,,
DUPLICATE,email,gerrymcilhone@gmail.com,2,St. Catharines CYO Basketball (Rebels) | St. Catharines CYO Rebels,St Catharines | St. Catharines,Ontario,yes,,,
DUPLICATE,email,strivehoopslondon@yahoo.com,2,Strive Hoops | Strive Hoops,London | Slave Lake,Ontario,yes,,,
DUPLICATE,email,info@triplebalance.ca,2,Triple Balance | Triple Balance Academy,Scarborough + Durham,Ontario,,,,
DUPLICATE,email,underdogathletics30@gmail.com,2,Underdog Elite (Underdog Athletics) | Underdog Elite (Underdog Athletics),GTA (likely) | Toronto/Mississauga/Milton ON,Ontario,yes,,,
DUPLICATE,email,info@womba.ca,2,WOMBA (Woodstock Oxford Minor Basketball Association) | Woodstock Oxford Minor Basketball Association (WOMBA),Woodstock,Ontario,,,,
DUPLICATE,email,mike_dewitt@kingston.ymca.ca,2,YMCA of Eastern Ontario Brockville | YMCA of Eastern Ontario Kingston,Brockville | Kingston,Ontario,yes,,,
DUPLICATE,phone,5149702232,2,Amazones Basketball | Amazones Basketball Laval,Laval,Quebec,,,,
DUPLICATE,email,basketballperseverance@gmail.com,2,Association Basketball Persévérance | Association de basketball Persévérance,Saint-Charles-Borromée (Grand Joliette) | Saint-Charles-Borromée (Joliette area),Quebec,yes,,,
DUPLICATE,email,doyona22@hotmail.com,2,Association de Basketball de Lanaudière (LANO) | LANO — Association de basket-ball de Lanaudière,"Repentigny | Repentigny (serves Joliette, Terrebonne, Mascouche, Charlemagne, L'Assomption, Lavaltrie)",Quebec,yes,,,
DUPLICATE,email,basketball.secteurest@gmail.com,2,"BASE — Basketball, Association du Secteur Est | Basketball, Association du Secteur Est (BASE)",Gatineau | Gatineau (secteur Est — Buckingham/Masson-Angers),Quebec,yes,,,
DUPLICATE,email,beaulac98@hotmail.com,2,Celtics EMB (Entraînement Mario Beaulac) | Celtics EMB de Saint-Barnabé-Sud (Entraînement Mario Beaulac),Saint-Barnabé-Sud (Saint-Hyacinthe area),Quebec,,,,
DUPLICATE,phone,4185902396,2,Club de basketball Bleu et Or (Jonquière) | Club de basketball Bleu et Or de Jonquière,Saguenay (Jonquière),Quebec,,,,
BRANCH-NETWORK,email,info@iembasketball.com,9,IEM Alpha Elite | IEM Aurora | IEM Basketball | IEM Bradford | IEM East Gwillimbury | IEM King City | IEM Newmarket | IEM North York | IEM Spartans,Aurora | Bradford | East Gwillimbury | King City | Newmarket | Newmarket/York Region (IEM) | North York | York Region (IEM),Ontario,yes,,,
BRANCH-NETWORK,email,contactgatorsacademy@gmail.com,5,Durham Gators Basketball | Gators | Gators Basketball | Gators Basketball Academy (Markham Gators) | Gators Elite,Durham Region ON | Markham/Durham/Richmond Hill,Ontario,yes,,,
BRANCH-NETWORK,email,brantfordcyoboys@gmail.com,4,Brantford Boys CYO Hawks Basketball | Brantford CYO Boys | Brantford CYO Hawks | Brantford Hawks,Brantford,Ontario,,,,
BRANCH-NETWORK,phone,4167083508,4,Top Tier | Toronto Top Tier | Toronto Top Tier | Toronto Top Tier,Etobicoke | Toronto,Ontario,yes,,,
BRANCH-NETWORK,phone,5064534579,3,Junior Reds Basketball (UNB) | Reds Selects (UNB) | UNB Junior Reds / REDS Selects,Fredericton,New Brunswick,,,,
BRANCH-NETWORK,email,operations@burlingtonbasketball.ca,3,Burlington Basketball | Burlington Force (Burlington Basketball) | Burlington Force Elite,Burlington,Ontario,,,,
BRANCH-NETWORK,email,jrkingscourtbasketball@gmail.com,3,"JR Kings | Kings Court (JR Kings Court, probable) | Kings Court Academy",Hamilton,Ontario,,,,
BRANCH-NETWORK,phone,2894291114,3,Milton Stags | Milton Stags Youth Basketball | Stags,Milton | Milton ON,Ontario,yes,,,
BRANCH-NETWORK,email,torontotoptierhoops@gmail.com,3,Top Tier | Toronto Top Tier | Toronto Top Tier,Etobicoke | Toronto,Ontario,yes,,,
BRANCH-NETWORK,email,info@basketballgatineau.com,3,Association de basketball de Gatineau (ABG) | Dragons de Gatineau | Gatineau Dragons,"Gatineau | Gatineau, QC (cross-border)",Quebec,yes,,,
BRANCH-NETWORK,phone,3063078788,2,Lloydminster Minor Basketball Association (a.k.a. Lloydminster Youth Basketball Inc.) | Lloydminster Youth Basketball Club Ltd.,Lloydminster,Alberta,,,,
BRANCH-NETWORK,phone,6046702322,2,Fundamentals Basketball Club (Fundamentals BC) | Fundamentals BC (Fundamentals Basketball Club),Surrey,British Columbia,,,,
BRANCH-NETWORK,phone,2042923018,2,Magic Basketball Canada (Manitoba Magic) | Manitoba Magic Basketball Club,Winnipeg,Manitoba,,,,
BRANCH-NETWORK,email,redsyouth@unb.ca,2,Reds Selects (UNB) | UNB Junior Reds / REDS Selects,Fredericton,New Brunswick,,,,
BRANCH-NETWORK,email,info@709basketball.com,2,Goulds Basketball Association (Southern Shore - Goulds / Shore Basketball) | Southern Shore Goulds Basketball (Goulds Basketball Association / Southern Shore Basketball Association),Goulds (St. John's),Newfoundland & Labrador,,,,
BRANCH-NETWORK,email,blitzbasketballinfo@gmail.com,2,Ancaster Blitz | Blitz Basketball,Ancaster | Hamilton (Ancaster),Ontario,yes,,,
BRANCH-NETWORK,phone,6139623240,2,Belleville | Belleville Spirits,Belleville,Ontario,,,,
BRANCH-NETWORK,email,info@bramptonbasketball.com,2,Brampton Minor Basketball Association | Brampton Warriors (Brampton Minor BA),Brampton,Ontario,,,,
BRANCH-NETWORK,email,info@burloakbasketball.com,2,Burloak Basketball | Burloak Elite,Burlington/Oakville,Ontario,,,,
BRANCH-NETWORK,email,caledoncougarsbasketball@gmail.com,2,Caledon Basketball Academy | Caledon Cougar Basketball Association,Bolton / Caledon | Caledon,Ontario,yes,,,
BRANCH-NETWORK,email,info@thecollectiveelite.ca,2,Collective Elite Academy | The Collective Elite Basketball Association,Brampton,Ontario,,,,
BRANCH-NETWORK,email,info@countyclippers.ca,2,County Clippers | Prince Edward County Clippers,"Eli Carlone, rep | Prince Edward County",Ontario,yes,,,
BRANCH-NETWORK,phone,4163911441,2,Crestwood Prep | Crestwood Preparatory College (+ Blue),Toronto | Toronto (North York),Ontario,yes,,,
BRANCH-NETWORK,email,info@durhamcitybasketball.ca,2,Durham City Basketball Association | Durham City Bulldogs,Ajax/Pickering/Whitby/Oshawa | Durham,Ontario,yes,,,
BRANCH-NETWORK,phone,6472831873,2,Durham Gators Basketball | Gators Elite,Durham Region ON,Ontario,,,,
BRANCH-NETWORK,email,info@escadron.com,2,Escadron Basketball | ESCADRON Sport-Études,Blainville,Ontario | Quebec,,,,
BRANCH-NETWORK,phone,6472382690,2,Etobicoke Basketball Association | Etobicoke Thunder (EBA),Etobicoke | Etobicoke ON,Ontario,yes,,,
BRANCH-NETWORK,email,info@kanatabasketball.ca,2,Kanata Selects | Kanata Youth Basketball Association (Ottawa Next Level),Kanata (Ottawa) | Ottawa (Kanata),Ontario,yes,,,
BRANCH-NETWORK,email,info@kemptvillewarriors.ca,2,Kemptville | Kemptville Warriors,Kemptville,Ontario,,,,
BRANCH-NETWORK,email,info@impactbasketball.ca,2,Kitchener Impact Academy | Kitchener-Waterloo Valour Basketball House League,Kitchener | Kitchener-Waterloo,Ontario,yes,,,
BRANCH-NETWORK,email,inquiry@miltonstags.com,2,Milton Stags Youth Basketball | Stags,Milton,Ontario,,,,
BRANCH-NETWORK,email,nick.nrba@gmail.com,2,North Region Basketball | North Region Crazy Catz,Toronto (GTA-wide),Ontario,,,,
BRANCH-NETWORK,email,ntbaregistrar@bell.net,2,North Toronto Basketball Association | North Toronto Huskies (NTBA),Toronto,Ontario,,,,
BRANCH-NETWORK,email,info@ottawashootingstars.com,2,Ottawa Shooting Stars | Rising Stars,Ottawa,Ontario,,,,
BRANCH-NETWORK,email,ppba.registrar@gmail.com,2,Pelham | Pelham Panthers,Pelham,Ontario,,,,
BRANCH-NETWORK,email,fourpointbasketball@gmail.com,2,Redmond Basketball (Father John Redmond CSS) | Redmond Redhawks OSBA (Father John Redmond CSS),Toronto (Etobicoke) | Toronto (Etobicoke) ON,Ontario,yes,,,
BRANCH-NETWORK,email,rsbelite@gmail.com,2,RSB | RSB Elite,,Ontario,,,,
BRANCH-NETWORK,email,ysskbc@gmail.com,2,Silver Knights | York South Silver Knights,Richmond Hill/Markham ON,Ontario,,,,
BRANCH-NETWORK,email,admissions@stjudesacademy.ca,2,St. Jude's Basketball | St. Jude's Prep,Mississauga,Ontario,,,,
BRANCH-NETWORK,email,info@stratfordbasketball.com,2,Stratford Basketball Association | Stratford Revolution,Stratford,Ontario,,,,
BRANCH-NETWORK,phone,6475576737,2,Thornhill Basketball Association | Thornhill Thunder (Thornhill BA),Thornhill | Thornhill/Vaughan ON,Ontario,yes,,,
BRANCH-NETWORK,email,lordsbasketball@gmail.com,2,Toronto Lord Basketball Association | Toronto Lords,Toronto,Ontario,,,,
BRANCH-NETWORK,phone,8195646360,2,Académie Basketball — Cégep de Sherbrooke (Centre de l'activité physique) | Académie des Volontaires (Cégep de Sherbrooke — youth basketball academy),Sherbrooke,Quebec,,,,
BRANCH-NETWORK,phone,5147741663,2,Cavaliers Ile-Perrot | Club de Basketball de l'Ouest — CBO Cavaliers (Cavaliers Île-Perrot),NDIP | Notre-Dame-de-l'Île-Perrot (Vaudreuil-Soulanges),Quebec,yes,,,
BRANCH-NETWORK,email,panthersselectsherbrooke@gmail.com,2,Club de Basket-ball Panthers de Sherbrooke (Panthers Basketball) | Panthers Basketball (Panthers Select Sherbrooke),Sherbrooke,Quebec,,,,
BRANCH-NETWORK,email,tornadesbasketball@gmail.com,2,Club de basketball Les Tornades de Longueuil | Tornades Basketball (likely Longueuil — verify),Longueuil,Quebec,,,,
BRANCH-NETWORK,phone,5148854347,2,Club de Basketball Saint-Hyacinthe (STH) / V-Kings de Saint-Hyacinthe (formerly Vikings) | Vikings de St-Hyacinthe,Saint-Hyacinthe,Quebec,,,,
BRANCH-NETWORK,email,jeanduch@live.ca,2,Phénix Basketball (Mini-Basket Phénix / Phénix de Nicolas-Gatineau) | Phénix de Gatineau (Mini-Basket Phénix),Gatineau,Quebec,,,,
SHARED-OPERATOR,email,jon@rocksports.ca,6,Gander Minor Basketball | Paradise Minor Basketball | Rock Elite Basketball Club | Rock Sports Group Inc. (Rock Sports Academy) | St. John's Minor Basketball (SJMB) | Torbay Minor Basketball,Gander | Paradise | St. John's | Torbay,Newfoundland & Labrador,yes,,,
SHARED-OPERATOR,phone,4165517554,6,SBA (Scarborough BA / Blues) | SBA Blues | SBA Premier (Scarborough Basketball Association) | Scarborough Basketball Assn (SBA/Blues) | Scarborough Basketball Association | Scarborough Blues (SBA),Scarborough | Scarborough ON,Ontario,yes,,,
SHARED-OPERATOR,email,admin@ynba.ca,5,YNBA | YNBA Basketball | York North BA (YNBA) | York North Basketball Association | York Region,Aurora / Newmarket | Aurora-Newmarket | Newmarket ON,Ontario,yes,,,
SHARED-OPERATOR,phone,7804268681,4,"Northumberland Minor Basketball Association (formerly Lakeshore Minor Basketball Association, rebranded 2022) | Triple Balance | Triple Balance Academy | Uxbridge Spartan Basketball Association (USBA)",Cobourg (house league Saturdays at Cobourg Collegiate Institute) | Scarborough + Durham | Uxbridge,Ontario,yes,,,
SHARED-OPERATOR,phone,7097383177,3,Conception Bay North Minor Basketball | FORCE Basketball (FORCE Basketball NL) | Rock Sports Group Inc. (Rock Sports Academy),Bay Roberts / Conception Bay North area | Gander | St. John's,Newfoundland & Labrador,yes,,,
SHARED-OPERATOR,email,info@qsla.ca,3,Ballmatics Academy | Quantum Sports Academy | RWI,,Ontario,,,,
SHARED-OPERATOR,phone,8339374667,3,CALI | CALI Prep Academy | City Above Elite,Pickering | Vaughan/North York ON,Ontario,yes,,,
SHARED-OPERATOR,email,administration@guelphbasketball.com,3,Guelph Gryphons Basketball | Guelph Youth Basketball Association | GYBA Gryphons (Guelph Youth Basketball),Guelph,Ontario,,,,
SHARED-OPERATOR,email,info@transwaybasketball.com,3,Hamilton JUEL | Hamilton Transway Basketball | Transway Basketball Club,Hamilton,Ontario,,,,
SHARED-OPERATOR,email,hqelitecanada1@gmail.com,3,HQ Elite | HQ Prep / HQ Elite (HQ Canada) | HQ Prep / HQ Elite Canada,Hamilton | Hamilton ON,Ontario,yes,,,
SHARED-OPERATOR,email,coachqwlu@hotmail.com,3,K-W Vipers (KWYBA) | Kitchener-Waterloo Youth Basketball Association (Vipers) | KW Vipers,Kitchener-Waterloo | Kitchener-Waterloo ON | Kitchener/Waterloo,Ontario,yes,,,
SHARED-OPERATOR,phone,6479456945,3,"MBA | MBA Basketball | MUMBA (Markham Unionville Minor BA) — ""MUMBA Mentality""/MBA prep",Markham | Markham ON,Ontario,yes,,,
SHARED-OPERATOR,phone,9055020050,3,Mississauga Minor Basketball Association | Monarchs | Monarchs Basketball (Rep/AAU),Mississauga,Ontario,,,,
SHARED-OPERATOR,email,prbcrocketsbball@gmail.com,3,PRBC | Prescott Russell Basketball Club | Rockets,Russell | unconfirmed abbreviation (possibly Prescott-Russell Basketball Club),Ontario,yes,,,
SHARED-OPERATOR,phone,4168555572,3,Quantum Sports Academy | RWI | Uchenna Academy,Toronto (950 Dupont),Ontario,,,,
SHARED-OPERATOR,email,renevillavecer@yahoo.com,3,Rise Up Elite | Windsor Suns | WPA Suns,Windsor,Ontario,,,,
SHARED-OPERATOR,email,rwibasketball@gmail.com,3,RUN WITH It (RWI/RWI 519) | RWI Basketball | RWI519 (RUN WITH It Basketball),K-W/519 ON | SW Ontario (519),Ontario,yes,,,
SHARED-OPERATOR,email,thepgba@gmail.com,3,The Performance Group (TPG) Basketball Association | TPG | TPG Basketball,Brampton,Ontario,,,,
SHARED-OPERATOR,email,tanner@goldenticketsports.com,3,Golden Ticket Sports (Golden Ticket Sports Centre) | Golden Ticket Sports / Golden Ticket Basketball Club | Saskatoon Public Schools Basketball Academy (operated by Golden Ticket Sports),Moose Jaw | Saskatoon,Saskatchewan,yes,,,
SHARED-OPERATOR,phone,7785913660,2,BC Preparatory Academy (BCPrep) | BCPrep (BC Preparatory Academy),Surrey,British Columbia,,,,
SHARED-OPERATOR,phone,7783874543,2,Dream Hoops Academy | Top Flight Sports Vancouver,Vancouver,British Columbia,,,,
SHARED-OPERATOR,email,recreation@whereyoubelong.ca,2,Aim High Basketball Academy | Niverville Recreation — Youth Basketball,Niverville,Manitoba,,,,
SHARED-OPERATOR,email,info@wmba.ca,2,Niverville Community Youth Basketball (Niverville Recreation x WMBA) | Winnipeg Minor Basketball Association (WMBA),Niverville | Winnipeg,Manitoba,yes,,,
SHARED-OPERATOR,email,info@pegcityball.ca,2,Peg City Basketball (Basketball Manitoba club league arm) | United Basketball Club,Winnipeg,Manitoba,,,,
SHARED-OPERATOR,email,admin@709basketball.com,2,Avalon Basketball (Avalon Basketball Association / 709 Basketball) | Outer Cove Basketball,Outer Cove | St. John's,Newfoundland & Labrador,yes,,,
SHARED-OPERATOR,phone,7097302763,2,Paradise Minor Basketball | St. John's Minor Basketball (SJMB),Paradise | St. John's,Newfoundland & Labrador,yes,,,
SHARED-OPERATOR,email,director@360btg.com,2,360 Beyond The Game (360BTG) | 360BTG (Basketball & Soccer),Oshawa / Whitby / Clarington / Ajax / Pickering | Oshawa/Whitby/Ajax,Ontario,yes,,,
SHARED-OPERATOR,phone,6135902233,2,AD Rebelles (assoc. Louis-Riel) | Louis-Riel Academy (CEPEO),Ottawa (Gloucester),Ontario,,,,
SHARED-OPERATOR,email,contactus@bgcottawa.org,2,and Club of Ottawa | BGC Thunderbolts,Ottawa,Ontario,,,,
SHARED-OPERATOR,email,info@codeprep.ca,2,C.O.D.E. Academy | CODE,Whitby,Ontario,,,,
SHARED-OPERATOR,email,info@yaaace.com,2,Inspire Academy (YAAACE) | Y.A.A.A.C.E,Toronto | Toronto (North York),Ontario,yes,,,
SHARED-OPERATOR,email,info@monarchsbasketball.ca,2,Mississauga Minor Basketball Association | Monarchs,Mississauga,Ontario,,,,
SHARED-OPERATOR,email,info@pbaa.ca,2,North York Lions | Phillips Basketball & Academics Academy (North York Lions),North York,Ontario,,,,
SHARED-OPERATOR,phone,6476938929,2,Scarborough Prep | V3 Basketball Club,Scarborough,Ontario,,,,
SHARED-OPERATOR,phone,6475019805,2,The Performance Group (TPG) Basketball Association | TPG,Brampton,Ontario,,,,
SHARED-OPERATOR,email,dave@wildhawk.ca,2,Waterloo Wildhawks | Wildhawk Basketball,Waterloo,Ontario,,,,
SHARED-OPERATOR,email,cpierre30@gmail.com,2,Académie des Lions inc. | Association de Basketball Roussillon (ABR Lions),Candiac / Delson / La Prairie,Quebec,,,,
SHARED-OPERATOR,phone,5148858176,2,Association de basketball de l'est de l'île de Montréal (ABEIM) | DOD Basketball / Club de Basket-Ball de Saint-Léonard (EMBC Avatars),Montréal (Saint-Léonard) | Montréal (east end),Quebec,yes,,,
SHARED-OPERATOR,phone,8193835258,2,Association de basketball de Trois-Rivières (ABBTR – Storm) | V.I.T.A.L. Basketball,Trois-Rivières,Quebec,,,,
SHARED-OPERATOR,email,info@atelier803.ca,2,Atelier 803 (formerly L'Académie de basketball de Thetford Mines; teams brand: Team Thetford Basketball) | Team Thetford Basketball (Académie de basketball de Thetford),Thetford Mines (Saint-Joseph-de-Coleraine),Quebec,,,,
