club_name,province,city,city_source,region,website,email,phone,leagues,type,lat,lon,postal_code,place_id,geo_precision,social,contact_person,contact_note,website_status,address,formatted_address,leader,sources,source_count,row_count,oba_affiliated,team_derived,aliases,evidence_url,claimable,domain_claim_ok,domain_claim_reason,last_verified,stale,audience,needs_review
Barrhead Aces,Alberta,Barrhead,source,Rest of Alberta,,brettgitzel@gmail.com,587-336-7879,AYBC — Association of Alberta Youth Basketball Clubs,community club,,,,,,,,,,,,,census-2026-07,1,1,,,Barrhead Aces,https://www.aybc.ca/membership,yes,,no-website,2026-07,,youth,
Battle River Warriors,Alberta,Tofield,source,"Edmonton metro (east fringe), AB",,banderson@brsd.ab.ca,,AYBC — Association of Alberta Youth Basketball Clubs,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Battle River Warriors,https://www.aybc.ca/membership,yes,,no-website,2026-07,,youth,
Beaumont Youth Basketball Association (BYBA),Alberta,Beaumont,source,"Edmonton metro, AB",https://www.byba.ca/,president@byba.ca,(780) 336-6023,EYBA Fall/Winter League,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Beaumont Youth Basketball Association (BYBA),https://www.byba.ca/,yes,yes,canadian-tld,2026-07,,youth,
Big Rock Basketball Club,Alberta,Okotoks,source,"Calgary metro, AB",https://bigrockbball.ca,info@bigrockbball.ca,403-336-6503,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,"community club (girls, Foothills area)",,,,,,,,,,,,,census-2026-07,1,1,,,Big Rock Basketball Club,https://bigrockbball.ca,yes,yes,canadian-tld,2026-07,,youth,
Bow River South Basketball Association,Alberta,Calgary,source,"Calgary metro, AB",https://bowriverbasketball.com,president@bowriverbasketball.com,,Alberta Basketball Youth Provincials (YP); CMBA Fall/Winter League,community nonprofit (CMBA zone association),,,,,,FB @BowRiverSouthBasketball; IG @bowriverbasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Bow River South Basketball Association,https://bowriverbasketball.com/content/board-contact-list,yes,yes,website-corroborated,2026-07,,youth,
Bow Valley Basketball,Alberta,Canmore,source,"Bow Valley (Canmore — adjacent to Calgary metro, plays into Calgary/regional competition)",https://www.bowvalleybasketball.com,info@bowvalleybasketball.com,+1 403-707-9250,,private academy / club,,,,,,,,,,,,,census-2026-07,1,1,,,Bow Valley Basketball,https://www.bowvalleybasketball.com/about,yes,,unverified-single-source-non-ca,2026-07,,youth,
Brodie Rec (Calgary North),Alberta,Calgary,source,"Calgary metro, AB",https://www.brodierec.com/locations/calgary-alberta,info@brodierec.com,,Brodie rec basketball league (operator),private rec league operator,,,,,,,,,,,,,census-2026-07,1,1,,,Brodie Rec (Calgary North),https://www.brodierec.com/locations/calgary-alberta,yes,,unverified-single-source-non-ca,2026-07,,youth,
CADA Sports (CADA Red Storm),Alberta,Edmonton,source,"Edmonton metro, AB",https://www.cadasports.com/,info@cadasports.com,,AYBC — Association of Alberta Youth Basketball Clubs,private academy,,,,,,FB @CADAyouth; IG @cadayouth,,,,,,,"census-2026-07,website-scrape",2,2,,,CADA Sports (CADA Red Storm),https://www.cadasports.com/,yes,yes,website-corroborated,2026-07,,youth,
Calgary Academy Hoops,Alberta,Calgary,source,"Calgary metro, AB",https://calgaryacademyhoops.ca,academyhoops24@gmail.com,(825) 438-3316,,community club (details unpublished),,,,,,,,,,,,,census-2026-07,1,1,,,Calgary Academy Hoops,https://calgaryacademyhoops.ca,yes,yes,canadian-tld,2026-07,,youth,
Calgary Basketball Academy (CBA),Alberta,Calgary,source,"Calgary metro, AB",https://calgarybasketball.ca,info@calgarybasketball.ca,,CMBA (referenced on site; CMBA Spring League (club season); spring club league level unconfirmed),private academy (with nonprofit spring club arm 'Youth Basketball in Calgary'),,,,,,FB @cbacalgary; IG @_c_b_a_,,,,,,,"census-2026-07,website-scrape",2,2,,,Calgary Basketball Academy (CBA),https://calgarybasketball.ca,yes,yes,canadian-tld,2026-07,,youth,
Calgary Chinooks Basketball,Alberta,Calgary,source,"Calgary metro, AB",https://www.calgarychinooksbasketball.com,calgarychinooksbasketball@gmail.com,,Calgary); Great Canadian Shootout (GCSO) series; Prolific Spring League; Prolific Spring League (Prolific Sports House,community nonprofit (academy),,,,,,,,,,,,,census-2026-07,1,1,,,Calgary Chinooks Basketball,https://www.calgarychinooksbasketball.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
Calgary Elite Basketball,Alberta,Calgary,source,Calgary metro,,,,CMBA Spring League (club season),private club,,,,,,,,,,,,,census-2026-07,1,1,,,Calgary Elite Basketball,https://www.cmba.ab.ca/team/7743/302/22786/173471,,,no-website,2026-07,,youth,
Calgary Impact Basketball Club,Alberta,Calgary,source,"Calgary metro, AB",https://www.calgaryimpactbasketball.com,calgaryimpactbasketball@gmail.com,(403) 702-5880,CMBA (league play — 'Calgary Impact White' team page on cmba.ab.ca); CMBA Fall/Winter League,private club,,,,,,,,,,,,,census-2026-07,1,1,,,Calgary Impact Basketball Club,https://www.calgaryimpactbasketball.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
Calgary Minor Basketball Association (CMBA) — league operator reference,Alberta,Calgary,source,"Calgary metro, AB",http://www.calgarygrizzlies.ab.ca,grizzlies@calgarygrizzlies.ab.ca,(403) 804-3396,CMBA Diamond Prep League (operator); CMBA Fall/Winter League (operator); CMBA Spring League (operator),"community nonprofit (adaptive/wheelchair, all ages incl. youth)",,,,,,,,,,,,,census-2026-07,1,2,,,Calgary Grizzlies Wheelchair Basketball Society | Calgary Minor Basketball Association (CMBA) — league operator reference,http://www.calgarygrizzlies.ab.ca,yes,yes,canadian-tld,2026-07,,youth,
Calgary Northwest Basketball Association (CNWB),Alberta,Calgary,source,"Calgary metro, AB",https://cnwb.ca,calgarynwbasketball@gmail.com,,CMBA Fall/Winter League; CMBA Spring League,community nonprofit (CMBA zone association),,,,,,IG @calgarynwbasketball,,,,,,,"census-2026-07,website-scrape",2,2,,,Calgary Northwest Basketball Association (CNWB),https://cnwb.ca,yes,yes,canadian-tld,2026-07,,youth,
Calgary Selects Basketball,Alberta,Calgary,source,Calgary metro,https://calgaryselects.ca/,lettichhoops@gmail.com,403-808-2986,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs; CMBA Spring League (club season),private club,,,,,,,,,,,,,census-2026-07,1,1,,,Calgary Selects Basketball,https://calgaryselects.ca/,yes,yes,canadian-tld,2026-07,,youth,
Calgary South Basketball Academy (CSBA),Alberta,Calgary,source,"Calgary metro, AB",https://csbasketball.academy,csbaattendance@gmail.com,587-719-0119,,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Calgary South Basketball Academy (CSBA),https://csbasketball.academy,yes,,unverified-single-source-non-ca,2026-07,,youth,
Calgary Warriors Basketball Club,Alberta,Calgary,source,Calgary metro,https://www.sportsengine.com/org/calgary-warriors-basketball-club,calgarywarriorsbasketball.lt@gmail.com,430-874-3120,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,private club,,,,,,,,,,,,,census-2026-07,1,1,,,Calgary Warriors Basketball Club,https://www.sportsengine.com/org/calgary-warriors-basketball-club,yes,,unverified-single-source-non-ca,2026-07,,youth,
Calwest Basketball Association,Alberta,Calgary,source,"Calgary metro, AB",https://www.calgarywestbasketball.com,calwest.president@gmail.com,,Alberta Basketball Youth Provincials (YP); CMBA Fall/Winter League,community nonprofit (CMBA zone association),,,,,,,,,,,,,census-2026-07,1,1,,,Calwest Basketball Association,https://www.calgarywestbasketball.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
Capital City Basketball Academy,Alberta,Edmonton,source,Edmonton metro,https://www.capcitybballacademy.ca/,craig.frizzell@hotmail.com,,EYBA Spring League,community nonprofit,,,,,,,,,,,,,"census-2026-07,website-scrape",2,2,,,Capital City Basketball Academy,https://www.capcitybballacademy.ca/,yes,yes,canadian-tld,2026-07,,youth,
Cardston Youth Basketball,Alberta,Cardston,source,Rest of Alberta,,bjnish@gmail.com,403-308-8507,AYBC — Association of Alberta Youth Basketball Clubs,community club,,,,,,,,,,,,,census-2026-07,1,1,,,Cardston Youth Basketball,https://www.aybc.ca/2020-club-members-1/cardston-youth-basketball,yes,,no-website,2026-07,,youth,
CCA Paladins,Alberta,Calgary,source,"Calgary metro, AB",,ryan.l.scruggs@gmail.com,403-400-6971,AYBC — Alberta Youth Basketball Clubs circuit,community club (possible school-affiliated club team — affiliation unconfirmed),,,,,,,,,,,,,census-2026-07,1,1,,,CCA Paladins,https://www.aybc.ca/2020-club-members-1/cca-paladins,yes,,no-website,2026-07,,youth,
Central Alberta Basketball Club (CABC / CABC Sky),Alberta,Red Deer,source,Central Alberta,https://cabcsky.com/,centralalbertabc@gmail.com,403-506-6174,Alberta club/travel tournament circuit,competitive club (rep),,,,,,,,,,,,,census-2026-07,1,2,,,Central Alberta Basketball Club (CABC / CABC Sky) | Central Alberta Basketball Club (CABC Sky),https://cabcsky.com/,yes,,unverified-single-source-non-ca,2026-07,,youth,
Chief Mountain Wildcats,Alberta,Cardston,source,Rest of Alberta,https://www.facebook.com/share/18prQV7bCR/,chiefmountainwildcats@gmail.com,403-561-0788,,community club,,,,,,,,,,,,,census-2026-07,1,1,,,Chief Mountain Wildcats,https://www.abbasketball.ca/content/Alberta-Club-Map,yes,,unverified-single-source-non-ca,2026-07,,youth,
Climb Basketball Academy,Alberta,Edmonton,source,"Edmonton metro, AB",https://www.climbbasketball.ca/home,,,EYBA Fall/Winter League,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Climb Basketball Academy,https://www.climbbasketball.ca/home,,yes,canadian-tld,2026-07,,youth,
CLS Minor Basketball Association (Chestermere-Langdon-Strathmore),Alberta,Chestermere,source,Calgary metro (also serves Langdon and Strathmore),https://clsminorbasketball.ca/,clsminorbasketball5@gmail.com,403-667-0759,CMBA Fall/Winter League; CMBA Spring League,community nonprofit (CMBA zone association),,,,,,,,,,,,,census-2026-07,1,1,,,CLS Minor Basketball Association (Chestermere-Langdon-Strathmore),https://clsminorbasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
Coaldale Basketball Club (Coaldale Chaos),Alberta,Coaldale,source,Southern Alberta,,nicole.hanna@pallisersd.ab.ca,,AYBC — Association of Alberta Youth Basketball Clubs,community club,,,,,,,,,,,,,census-2026-07,1,1,,,Coaldale Basketball Club (Coaldale Chaos),https://www.aybc.ca/2020-club-members-1/coaldale-basketball-club,yes,,no-website,2026-07,,youth,
Coalhurst Minor Basketball,Alberta,Coalhurst,source,Rest of Alberta,,coalhurstminorbasketball@gmail.com,403-894-8698,AYBC — Association of Alberta Youth Basketball Clubs,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Coalhurst Minor Basketball,https://www.aybc.ca/2020-club-members-1/coalhurst-minor-basketball,yes,,no-website,2026-07,,youth,
Cochrane Chaos,Alberta,Cochrane,source,"Calgary metro, AB",,cochranechaos@gmail.com,403-542-0893,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,community club (girls),,,,,,,,,,,,,census-2026-07,1,1,,,Cochrane Chaos,https://www.aybc.ca/2020-club-members-1/cochrane-chaos,yes,,no-website,2026-07,,youth,
Cochrane Minor Basketball Association (CoMBA),Alberta,Cochrane,source,"Calgary metro, AB",https://www.cochraneminorbasketball.com,cochraneminorbasketballassoc@gmail.com,,Alberta Basketball Youth Provincials (YP); CMBA Fall/Winter League; CMBA Spring League,community nonprofit (CMBA zone association),,,,,,,,,,,,,census-2026-07,1,1,,,Cochrane Minor Basketball Association (CoMBA),https://www.cochraneminorbasketball.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
CTA West Prep Basketball,Alberta,Calgary,source,"Calgary metro, AB",https://www.ctawest.com,info@ctawest.com,,,"private academy (post-grad prep, with dorms)",,,,,,,,,,,,,census-2026-07,1,1,,,CTA West Prep Basketball,https://www.ctawest.com/staff-bios,yes,,unverified-single-source-non-ca,2026-07,,youth,
CYDC Panthers Basketball (Calgary Youth Development Centre),Alberta,Calgary,source,"Calgary metro, AB",https://www.cydcbasketball.com,info@cydcbasketball.com,(403) 457-2576,PUMA NXTPRO Circuit,community club / academy (status unstated),,,,,,,,,,,,,census-2026-07,1,1,,,CYDC Panthers Basketball (Calgary Youth Development Centre),https://www.cydcbasketball.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
Develop,Alberta,Calgary,source,"Calgary metro, AB",,vanhooren1@shaw.ca,403-540-1693,AYBC — Alberta Youth Basketball Clubs circuit,community club (parent/coach-run),,,,,,,,,,,,,census-2026-07,1,1,,,Develop,https://www.aybc.ca/2020-club-members-1/develop,yes,,no-website,2026-07,,youth,
Devon Basketball (Devon Spring Basketball),Alberta,Devon,source,"Edmonton metro, AB",https://devonbasketball.weebly.com/,,,,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Devon Basketball (Devon Spring Basketball),https://devonbasketball.weebly.com/,,,unverified-single-source-non-ca,2026-07,,youth,
Diamond Valley Club Basketball,Alberta,Diamond Valley (Turner Valley/Black Diamond),source,Calgary metro (Foothills County),,diamondvalleyclubbasketball@gmail.com,587-830-3655,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,private club (girls),50.6883974,-114.2327473,,ChIJfzdF5GylcVMR2D_QIIrdXeY,APPROXIMATE,,,,,,"Diamond Valley, AB, Canada",,"census-2026-07,geocode",2,2,,,Diamond Valley Club Basketball,https://maps.googleapis.com/maps/api/geocode/json,yes,,no-website,2026-07,,youth,
DT Elite Basketball Club,Alberta,Red Deer,source,Rest of Alberta,https://dteliteball.teamsnapsites.com,info.dteliteball@gmail.com,587-377-5363,CJB League (per club site claim),private club/academy,,,,,,,,,,,,,census-2026-07,1,1,,,DT Elite Basketball Club,https://www.abbasketball.ca/content/Alberta-Club-Map,yes,,unverified-single-source-non-ca,2026-07,,youth,
Dunks Basketball,Alberta,Calgary,source,"Calgary metro, AB",,dunksbball@gmail.com,403-614-0918,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,community club,,,,,,,,,,,,,census-2026-07,1,1,,,Dunks Basketball,https://www.aybc.ca/2020-club-members-1/dunks-basketball,yes,,no-website,2026-07,,youth,
Eagles Basketball Academy,Alberta,Cochrane,source,Calgary metro,https://eaglesbasketballacademy.com/,whorb30@gmail.com,403-354-4327,AYBC — Association of Alberta Youth Basketball Clubs; CMBA; CMBA (league entries per site); Full Court Events (tournament series); Prolific Sports House League; Prolific Sports House League (Calgary),private academy / club,,,,,,,,,,,,,census-2026-07,1,1,,,Eagles Basketball Academy,https://eaglesbasketballacademy.com/,yes,,unverified-single-source-non-ca,2026-07,,youth,
East Pro Basketball Association,Alberta,Calgary,source,"Calgary metro, AB",https://www.eastprobasketball.ca,nardinecain@hotmail.com,,CMBA Fall/Winter League,community nonprofit (CMBA zone association),,,,,,,,,,,,,census-2026-07,1,1,,,East Pro Basketball Association,https://www.eastprobasketball.ca,yes,yes,canadian-tld,2026-07,,youth,
Eastview Basketball Association,Alberta,Calgary,source,Calgary metro (NE Calgary),http://eastviewbb.ca/,eatviewbb@hotmail.com,403-561-7431,AYBC — Alberta Youth Basketball Clubs circuit,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Eastview Basketball Association,http://eastviewbb.ca/,yes,yes,canadian-tld,2026-07,,youth,
Edge School (Edge Prep Basketball),Alberta,Calgary,source,"Calgary metro, AB (Springbank, Rocky View County)",https://edgeschool.com/athletics/basketball/,info@edgeschool.com,403-246-6432,Alberta Club Collective League; Canadian Junior Basketball League (CJBL); EIBC; National Preparatory Association (NPA),private academy (independent Gr 4-12 sport school — not school-board),,,,,,,,,,,,,census-2026-07,1,1,,,Edge School (Edge Prep Basketball),https://edgeschool.com/athletics/basketball/,yes,,unverified-single-source-non-ca,2026-07,,youth,
Edmonton Grads Youth Basketball Club,Alberta,Edmonton,source,Edmonton metro,https://www.gradsbasketball.ca/,gradsbball@gmail.com,(780) 499-8114,AYBC — Association of Alberta Youth Basketball Clubs; EYBA Spring League,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Edmonton Grads Youth Basketball Club,https://www.gradsbasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
Edmonton Pro-Am Basketball,Alberta,Edmonton,source,"Edmonton metro, AB",https://edmontonproambasketball.com/,proambasketball@gmail.com,587-605-4510,Edmonton Pro-Am Spring/Summer Leagues (self-run),private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Edmonton Pro-Am Basketball,https://edmontonproambasketball.com/,yes,,unverified-single-source-non-ca,2026-07,,youth,
Edmonton Southside Hoops,Alberta,Edmonton,source,Edmonton metro (southside),https://edmsouthsidehoops.ca/,,(780) 257-3438,Edmonton Southside Hoops Spring League (self-run in-house),private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Edmonton Southside Hoops,https://edmsouthsidehoops.ca/,yes,yes,canadian-tld,2026-07,,youth,
Edson Minor Basketball (Edson Raiders),Alberta,Edson,source,Rest of Alberta,http://www.edsonminorbasketball.com/,edsonminorbasketball@gmail.com,,Local Edson minor divisions,community nonprofit,,,,,,FB @EdsonMinorBasketball,,,,,,,"census-2026-07,website-scrape",2,3,,,Edson Minor Basketball (Edson Raiders) | Edson Raiders Basketball,http://www.edsonminorbasketball.com/,yes,yes,website-corroborated,2026-07,,youth,
EJ Ballers — Ballers League Camrose,Alberta,Camrose,source,Central Alberta,https://ejballers.com/index.php/ballers-league-camrose/,info@ejballers.com,,EJ Ballers house league (Camrose),private program (Edmonton-based operator running a Camrose league),,,,,,FB @ejballers; IG @ejballers,,,,,,,"census-2026-07,website-scrape",2,2,,,EJ Ballers — Ballers League Camrose,https://ejballers.com/index.php/ballers-league-camrose/,yes,yes,website-corroborated,2026-07,,youth,
Elite Aces Athletics,Alberta,Edmonton,source,"Edmonton metro, AB",https://eliteacesathletics.com/basketball,info@eliteacesathletics.com,587-938-7264,,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Elite Aces Athletics,https://eliteacesathletics.com/basketball,yes,,unverified-single-source-non-ca,2026-07,,youth,
Encounter Sports (ES Lions),Alberta,Sherwood Park,source,"Edmonton metro, AB",https://encountersports.ca/,info@encountersports.ca,780-940-0862,,multi-sport org,,,,,,,,,,,,,census-2026-07,1,1,,,Encounter Sports (ES Lions),https://encountersports.ca/,yes,yes,canadian-tld,2026-07,,youth,
Evolve Basketball Lloydminster,Alberta,Lloydminster,source,Rest of Alberta,https://www.yllevolvebasketball.com/,yllevolvebasketball@gmail.com,780-808-4025,Calgary; Edmonton); Prairie club tournament circuit (Saskatoon; Prince Albert,private club (girls),,,,,,,,,,,,,census-2026-07,1,1,,,Evolve Basketball Lloydminster,https://www.yllevolvebasketball.com/,yes,,unverified-single-source-non-ca,2026-07,,youth,
Excel Basketball Academy (EBA),Alberta,Calgary,source,Calgary metro,https://www.excelbasketball.ca/,info@excelbasketball.ca,403-818-6674,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs; CMBA Spring League (club season),private academy / club (community-access mission),,,,,,,,,,,,,census-2026-07,1,1,,,Excel Basketball Academy (EBA),https://www.excelbasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
Far East Basketball (Far East Basketball Training League),Alberta,Calgary,source,Calgary metro (NE Calgary),https://fareastbasketball.ca/,info@fareastbasketball.ca,587-887-5460,AYBC — Alberta Youth Basketball Clubs circuit; CMBA Fall/Winter League,community nonprofit,,,,,,,,,,,,,census-2026-07,1,1,,,Far East Basketball (Far East Basketball Training League),https://fareastbasketball.ca/,yes,yes,canadian-tld,2026-07,,youth,
FCBA Blizzards (Filipino-Canadian Basketball Association),Alberta,Calgary,source,Calgary metro,https://www.fcbablizzards.com/,,,CMBA Fall/Winter League,community club (cultural community organization),,,,,,,,,,,,,census-2026-07,1,1,,,FCBA Blizzards (Filipino-Canadian Basketball Association),https://www.fcbablizzards.com/coaches,,,unverified-single-source-non-ca,2026-07,,youth,
FCV Hoops Academy (Full Court Vision),Alberta,Edmonton,source,"Edmonton metro, AB",https://www.fcvhoops.ca/,info@fcvhoops.ca,,EYBA Fall/Winter League; EYBA Spring League,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,FCV Hoops Academy (Full Court Vision),https://www.fcvhoops.ca/,yes,yes,canadian-tld,2026-07,,youth,
Foothills County Basketball Academy,Alberta,Okotoks,source,"Calgary metro, AB",,,403-801-8488,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,community club/academy,,,,,,,,,,,,,census-2026-07,1,1,,,Foothills County Basketball Academy,https://www.aybc.ca/2020-club-members-1/foothills-county-basketball-academy,yes,,no-website,2026-07,,youth,
Fort McMurray Basketball Academy,Alberta,Fort McMurray,source,Rest of Alberta,https://www.facebook.com/fmelitebasketball/,,,Club exhibition/tournament play (province-wide),private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Fort McMurray Basketball Academy,https://www.facebook.com/fmelitebasketball/,,,unverified-single-source-non-ca,2026-07,,youth,
Fort Saskatchewan Youth Basketball (FSYB),Alberta,Fort Saskatchewan,source,Edmonton metro,https://www.fsybasketball.com/,fortsaskyouthbasketball@gmail.com,403-307-6257,,"community nonprofit (division of Fort Saskatchewan Minor Sports Association, multi-sport org)",,,,,,,,,,,,,census-2026-07,1,1,,,Fort Saskatchewan Youth Basketball (FSYB),https://www.fsybasketball.com/About-Us,yes,,unverified-single-source-non-ca,2026-07,,youth,
Foundation Youth Basketball,Alberta,Calgary,source,"Calgary metro, AB",https://www.fybball.com,jon.walker1313@gmail.com,587-888-5038,AYBC — Alberta Youth Basketball Clubs circuit; AYBC — Association of Alberta Youth Basketball Clubs,community club,,,,,,,,,,,,,census-2026-07,1,1,,,Foundation Youth Basketball,https://www.fybball.com,yes,,unverified-single-source-non-ca,2026-07,,youth,
Genesis Basketball (Calgary program),Alberta,Calgary,source,"Calgary metro, AB",https://genesisbasketball.net,eddie@genesisbasketball.net,403-870-3420,AYBC — Association of Alberta Youth Basketball Clubs; CMBA Spring League (club season); Nike Jr EYBL (13U/14U boys & girls),private club (multi-city: Calgary + Edmonton),,,,,,,,,,,,,census-2026-07,1,1,,,Genesis Basketball (Calgary program),https://genesisbasketball.net/2022-Genesis-Club-Teams-TRYOUTS,yes,,unverified-single-source-non-ca,2026-07,,youth,
Genesis Basketball YEG (Genesis Sports Group Inc.),Alberta,Edmonton,source,"Edmonton metro, AB",https://genesisbasketballyeg.ca/,admin@genesisbasketballyeg.ca,,EYBA Fall/Winter League,private academy,,,,,,,,,,,,,census-2026-07,1,1,,,Genesis Basketball YEG (Genesis Sports Group Inc.),https://genesisbasketballyeg.ca/,yes,yes,canadian-tld,2026-07,,youth,
GOOD Hoops Club,Alberta,Edmonton,source,"Edmonton metro, AB",https://goodhoops.ca/,admin@goodhoops.ca,(780) 850-3804,Alberta Basketball 3X3 (series); Jr. NBA Canada,community nonprofit,53.477707,-113.409851,,,,,,,,,,,"census-2026-07,jrnba-2019",2,2,,,GOOD Hoops Club,https://goodhoops.ca/our-vision,yes,yes,canadian-tld,2026-07,,youth,
