province,club_a,city_a,contact_a,club_b,city_b,contact_b,shared_words,complementary,same_contact,verdict,reviewer,notes
Ontario,Shelbourne Shock,,,St. Thomas Shock,St. Thomas,amandakoning@aol.com,shock,yes,,,,
Ontario,St Michael's College,Toronto,,St. Michael's College School,Toronto,info@smcsmail.com,college michael,yes,,,,
Ontario,Stoney Creek Basketball,Stoney Creek,,Stoney Creek NYB,Stoney Creek,9055232314,stoney,yes,,,,
Ontario,Top Notch Prep / TNP (Top Notch Stars),Vaughan,info@topnotchstars.com,Top Notch Prep Academy (TNPA),Vaughan/North GTA ON,,notch top,yes,,,,
Ontario,Tri-City Basketball,Kitchener/Waterloo/Cambridge,,Tri-County Soldiers,K-W/Cambridge/Guelph,elopez@soldiersbasketball.ca,tri,yes,,,,
Ontario,Tri-City Basketball,Kitchener/Waterloo/Cambridge,,Tri-County Soldiers BC,Waterloo/Kitchener ON,elopez@soldiersbasketball.ca,tri,yes,,,,
Ontario,Tri-City Prep BA,K-W-Cambridge/Guelph ON,,Tri-County Soldiers,K-W/Cambridge/Guelph,elopez@soldiersbasketball.ca,tri,yes,,,,
Ontario,Tri-County Soldiers,K-W/Cambridge/Guelph,elopez@soldiersbasketball.ca,Tri-County Thunder,Kitchener-Waterloo/Guelph/Brampton (Tri-County),,tri,yes,,,,
Ontario,Tri-County Soldiers BC,Waterloo/Kitchener ON,elopez@soldiersbasketball.ca,Tri-County Thunder,Kitchener-Waterloo/Guelph/Brampton (Tri-County),,tri,yes,,,,
Ontario,Victory,,,Victory Academy/Prep Brampton,Brampton ON,admin@victoryacademybasketball.com,victory,yes,,,,
Ontario,Victory Academy/Prep Brampton,Brampton ON,admin@victoryacademybasketball.com,Victory Prep (Brampton),Brampton ON,,victory,yes,,,,
Ontario,York North Basketball Association,Newmarket ON,admin@ynba.ca,York Region Basketball League (YRBL),Vaughan/Markham/Richmond Hill/Newmarket/Aurora,,york,yes,,,,
Ontario,York Region Basketball League (YRBL),Vaughan/Markham/Richmond Hill/Newmarket/Aurora,,York Region Elite,,admin@ynba.ca,york,yes,,,,
Ontario,York Region Basketball League (YRBL),Vaughan/Markham/Richmond Hill/Newmarket/Aurora,,York South Silver Knights,Richmond Hill/Markham ON,ysskbc@gmail.com,york,yes,,,,
Quebec,École secondaire Saint-Gabriel (CSSMI),Sainte-Thérèse QC,450-433-5445,École St-Gabriel,,,ecole gabriel,yes,,,,
Ontario,17 Ignite,,,Ignite Academy,,,ignite,,,,,
Alberta,Alberta Shooting Stars Basketball,Calgary,albertashootingstars@gmail.com,STARS Basketball (Stars Athletics),Calgary,info@starsathletics.ca,stars,,,,,
Ontario,All Star Ballers 705,Innisfil,,All-In,,,all,,,,,
Ontario,All Star Ballers 705,Innisfil,,Innisfil Ballers,Innisfil,,ballers,,,,,
Manitoba,Attack Basketball,Winnipeg,sukhvir.singh@attackbball.ca,Attack South Basketball Club,Winnipeg,attacksouthbasketball@gmail.com,attack,,,,,
Ontario,BGC London,London,info@bgclondon.ca,BGC Thunderbolts,,contactus@bgcottawa.org,bgc,,,,,
Ontario,BGC Ottawa (Boys and Girls Club of Ottawa),Ottawa,bgc_ottawa@00dau000008lu2reae.org.force.com,BGC Thunderbolts,,contactus@bgcottawa.org,bgc,,,,,
Quebec,Ballon-Panier Centre-Nord (BOP BOP),Montréal (Centre-Nord),huberttanguaylabrosse@gmail.com,Club de Basketball de Montréal-Nord (CBMN),Montréal (Montréal-Nord),info@cbmn.ca,nord,,,,,
Ontario,Belleville Spirits,Belleville,bellevillespirits@gmail.com,Belleville Spirits Boys Basketball,Belleville,boysbellevillespirits@gmail.com,spirits,,,,,
Ontario,Blessed Sacrament BC (Yellow Jackets),HAMILTON ON (not Toronto),blessedsacrament@archtoronto.org,Blessed Sacrament CYO (Yellow Jackets),Hamilton,blessedscyo@gmail.com,blessed sacrament,,,,,
Ontario,Blessed Sacrament BC (Yellow Jackets),HAMILTON ON (not Toronto),blessedsacrament@archtoronto.org,Blessed Sacrament Yellow Jackets,,info@blessedsacramentbasketball.ca,blessed sacrament,,,,,
Ontario,Brantford CYO Boys,Brantford,brantfordcyoboys@gmail.com,Brantford CYO Girls,Brantford,brantfordcyogirls@outlook.com,cyo,,,,,
Ontario,CKATT (Cooksville),Mississauga,info@ckatt.com,CKATT / Cooksville,,info@ckatt.org,ckatt,,,,,
Alberta,Calgary Northwest Basketball Association (CNWB),Calgary,calgarynwbasketball@gmail.com,Northwest Bulldogs,Calgary,piccirillojeff@gmail.com,northwest,,,,,
Alberta,Calgary Warriors Basketball Club,Calgary,calgarywarriorsbasketball.lt@gmail.com,NW Warriors,Calgary,pushkar.chicago@gmail.com,warriors,,,,,
Ontario,Cambridge Athletic Club (CAC) Youth Basketball,Cambridge,,North York Pinoy Athletic Association (North York Aquilas),,,athletic,,,,,
Ontario,Capital Courts Academy,Ottawa,info@capitalcourts.com,Capital X,"Ottawa (Capital region, inferred)",6138837296,capital,,,,,
Quebec,Club basketball Les Astéries,Victoriaville,819-460-8080,Club de Basketball les Astéries,Victoriaville,direction@asteriesbasketball.com,asteries,,,,,
Quebec,Club de basketball Révolution des Laurentides,Terrebonne / Rosemère,directeurgeneral@revolutionbasket.com,Révolution,Rosemère,514-972-6765,revolution,,,,,
Ontario,Compass Academy,NON-MATCH (NJ program only),,Team Compass,,,compass,,,,,
Ontario,Crunch Time Basketball (Ignite),Markham/Unionville/Stouffville/Richmond Hill/Newmarket/Aurora,,Crunch Time Elite,,,crunch time,,,,,
Ontario,DC United,,,DFam United,,,united,,,,,
Ontario,DC United,,,Gwillimbury Basketball United,East Gwillimbury,,united,,,,,
Ontario,DC United,,,Up North United,name suggests Northern Ontario / cottage-country origin,,united,,,,,
Ontario,DFam United,,,Gwillimbury Basketball United,East Gwillimbury,,united,,,,,
Ontario,DFam United,,,Up North United,name suggests Northern Ontario / cottage-country origin,,united,,,,,
British Columbia,Drive & Dish Basketball Club,Surrey,info@drivendish.com,DRIVE Basketball,Surrey,604-670-4340,drive,,,,,
Ontario,Durham Basketball Club,Durham,durhambasketballclub@gmail.com,Durham Blues Basketball,Durham Region (Pickering/Ajax/Oshawa/Whitby),durhambluesball@gmail.com,durham,,,,,
Ontario,Durham Basketball Club,Durham,durhambasketballclub@gmail.com,Durham City Bulldogs,Durham,info@durhamcitybasketball.ca,durham,,,,,
Ontario,Durham Basketball Club,Durham,durhambasketballclub@gmail.com,Durham Rising Suns,Oshawa/Durham ON,info@durhamrisingsuns.com,durham,,,,,
Ontario,Durham Basketball Club,Durham,durhambasketballclub@gmail.com,Filipino Basketball Association of Durham (FBAD),,chan7930@rogers.com,durham,,,,,
Ontario,Durham City Basketball Association,Ajax/Pickering/Whitby/Oshawa,info@durhamcitybasketball.ca,Durham Rising Suns,Oshawa/Durham ON,info@durhamrisingsuns.com,durham,,,,,
Ontario,Durham City Basketball Association,Ajax/Pickering/Whitby/Oshawa,info@durhamcitybasketball.ca,Filipino Basketball Association of Durham (FBAD),,chan7930@rogers.com,durham,,,,,
Ontario,East York Basketball,Toronto (East/Beaches),info@eastyorkbasketball.com,York Region Elite,,admin@ynba.ca,york,,,,,
Ontario,East-Side City Warriors,,wmenzie@hotmail.com,South Windsor Warriors,Windsor,info@southwindsorwarriors.com,warriors,,,,,
Ontario,Eastern Academy,,,Eastern Earthquakes,"Eastern Ontario, inferred from name",,eastern,,,,,
Ontario,Eastern Academy,,,Eastern Ontario Basketball League (EOBL),Eastern Ontario (Ottawa area),,eastern,,,,,
Ontario,Eastern Basketball Academy,,info@easternbasketball.ca,YMCA of Eastern Ontario Brockville,Brockville,mike_dewitt@kingston.ymca.ca,eastern,,,,,
Ontario,Eastern Basketball Academy,,info@easternbasketball.ca,YMCA of Eastern Ontario Kingston,Kingston,mike_dewitt@kingston.ymca.ca,eastern,,,,,
Ontario,Eastern Earthquakes,"Eastern Ontario, inferred from name",,Eastern Ontario Basketball League (EOBL),Eastern Ontario (Ottawa area),,eastern,,,,,
Ontario,Edge Basketball,,,Edge Varsity,,,edge,,,,,
Ontario,First Step Basketball,,,First Step Elite (FSE),K-W/519,,first step,,,,,
Ontario,First Step Basketball,,,First Step Elite (FSE),Kitchener-Waterloo ON,,first step,,,,,
British Columbia,Fraser Valley Basketball Association,Surrey,basketballfv@gmail.com,Fraser Valley Unity Ball,,jackiecraven7@gmail.com,fraser,,,,,
New Brunswick,Fredericton Jr Freeze,Fredericton,,Jr. Freeze (Fredericton Junior Freeze),Fredericton,,freeze,,,,,
Ontario,Full Circle Academy,,,Full Circle Basketball Academy,Courtice (Durham) ON,,circle full,,,,,
Ontario,G2S Game Changers,North York/GTA ON,,Game 6 Sports Academy,,,game,,,,,
British Columbia,GG Wolves Basketball Skills Academy,Vancouver,rpennington.basketball@gmail.com,Vancouver Wolves Basketball Club,Vancouver,vancouverwolvesbasketball@novus.ca,wolves,,,,,
Ontario,Grassroots Canada,Toronto,(416) 272-0376,Grassroots Elite,,ro@grassrootscanada.org,grassroots,,,,,
Ontario,Grassroots Elite,,ro@grassrootscanada.org,Grassroots Elite Canada,Ontario-wide,t_jpoyser@outlook.com,grassroots,,,,,
Ontario,Grassroots Elite,,ro@grassrootscanada.org,Grassroots Niagara,Niagara,blueprint_training@hotmail.com,grassroots,,,,,
Ontario,Guelph Knights,Guelph,info@guelphknights.ca,Silver Knights,,ysskbc@gmail.com,knights,,,,,
Ontario,Hooptrotters (OGs/5Gs),GTA (North York) ON,,Hooptrotters OGs,,,hooptrotters,,,,,
Ontario,IEM North York,North York,info@iembasketball.com,York Region Elite,,admin@ynba.ca,york,,,,,
Ontario,Iconic,,,Team Iconic,,,iconic,,,,,
Ontario,Inter-City Saints,,,Whitby Saints,Whitby,,saints,,,,,
British Columbia,Just Real Ballers,Vancouver,westendcc2020@gmail.com,NV Ballers Basketball Club (N.W. Sports Club Society),North Vancouver,info@indiantypefoundry.com,ballers,,,,,
Ontario,Kemptville Warriors,,info@kemptvillewarriors.ca,South Windsor Warriors,Windsor,info@southwindsorwarriors.com,warriors,,,,,
Ontario,Malvern Alliance,"Toronto (Malvern, Scarborough)",,Toronto Alliance,Toronto,,alliance,,,,,
Ontario,Milton Stags,Milton ON,inquiry@stagsbasketball.com,Stags,,inquiry@miltonstags.com,stags,,,,,
Ontario,Mississauga Knights,Mississauga,info@knightsbasketball.ca,Silver Knights,,ysskbc@gmail.com,knights,,,,,
Ontario,Momentum Basketball,Toronto (Don Mills),info@momentumsportsgroup.ca,Momentum Sports Group,,admin@momentumsportsgroup.ca,momentum,,,,,
Ontario,NDL,,,NDL Basketball,,,ndl,,,,,
Ontario,North York Aquilas,North York,northyorkpinoy@gmail.com,York Region Elite,,admin@ynba.ca,york,,,,,
Ontario,North York Lions,North York,info@pbaa.ca,York Region Elite,,admin@ynba.ca,york,,,,,
Ontario,North York Pinoy Athletic Association (North York Aquilas),,,York Region Basketball League (YRBL),Vaughan/Markham/Richmond Hill/Newmarket/Aurora,,york,,,,,
Saskatchewan,Queen City Splash,Regina,queencitysplash@gmail.com,Splash (Regina),Regina,m.stefaniuk@sasktel.net,splash,,,,,
Quebec,RSEQ,,,RSEQ Montérégie,Richelieu-Yamaska,,rseq,,,,,
Ontario,Rise Basketball,Toronto/GTA,587-899-7473,Rise Up Elite,,renevillavecer@yahoo.com,rise,,,,,
Ontario,Rise Basketball (Rise Fitness and Sports Training),Vernon,kyle@rise-fast.com,Rise Up Elite,,renevillavecer@yahoo.com,rise,,,,,
Ontario,Rise Up Elite,,renevillavecer@yahoo.com,The Rise Centre,Brantford,jkayeye@therisecentre.com,rise,,,,,
Ontario,Scarborough Basketball Association,Scarborough,info@sbablues.ca,Scarborough Prep,Scarborough,647-693-8929,scarborough,,,,,
Ontario,The Conglomerate,NPH SL,,The Conglomerate Unit,,,conglomerate,,,,,
Ontario,Tri-City Basketball,Kitchener/Waterloo/Cambridge,,Tri-City Prep BA,K-W-Cambridge/Guelph ON,,tri,,,,,
Ontario,Tri-City Basketball,Kitchener/Waterloo/Cambridge,,Tri-County Thunder,Kitchener-Waterloo/Guelph/Brampton (Tri-County),,tri,,,,,
Ontario,Tri-City Prep BA,K-W-Cambridge/Guelph ON,,Tri-County Thunder,Kitchener-Waterloo/Guelph/Brampton (Tri-County),,tri,,,,,
Ontario,Tru Balance,GTA (likely),,Tru Balance Hoops,GTA/Toronto ON,,balance tru,,,,,
British Columbia,Vic City Hoops (vCity Hoops),Victoria,viccityhoops@gmail.com,Vic Howlers Basketball,Victoria,office@vichowlers.ca,vic,,,,,
Ontario,Victory,,,Victory Prep (Brampton),Brampton ON,,victory,,,,,
Alberta,Vision Basketball Academy,Calgary,mark@visionbasketball.ca,Vision Elite Academy (Calgary programs),Calgary,hello@visioneliteacademy.org,vision,,,,,
Ontario,York Region Elite,,admin@ynba.ca,York South Silver Knights,Richmond Hill/Markham ON,ysskbc@gmail.com,york,,,,,
Saskatchewan,little BALLERS,Moose Jaw,info@littleballersbasketball.com,Moose Jaw Ballers (MJ Ballers),Moose Jaw,mjballers18@gmail.com,ballers,,,,,
