Club Name,Region,City,Address,Phone,Email,Website,Owner/Principal,Programs,Leagues,Notes
RiseUp League,Peel/York,Brampton/Vaughan/Markham/Mississauga/Niagara,,,via website,https://www.riseupleague.com/,,Beginner-friendly recreational,,
Girls Play Too,GTA,GTA-wide,,,via website,https://www.girlsplaytoo.ca/aau,,AAU girls program,AAU,
Oakville Basketball Club (OBC),Halton,Oakville,"1011 Upper Middle Rd E #1435, Oakville, ON L6H 3Z7",(905) 469-1855,via website,https://oakvillebasketball.com/,"Toney McNeil, Founder/CEO","Camps, Skill development, Rep",,Serves Oakville/Burlington/Hamilton
Burlington Basketball,Halton,Burlington,"952 Century Dr. Burlington, ON L7L 5P2",(905) 220-3735,via website,https://www.burlingtonbasketball.ca/,,"Rep, House league, Ages 5-18",OBA,One of Southern Ontario's largest
GTA Mavericks,York,Vaughan,"300 Peter Rupert Ave, Vaughan, ON",(647) 923-9054,via website,https://gtamavericks.ca/,"Mishel Schwartz, Founder","Rep, House league, Camps, Ages 4-17",OBA,Vaughan/Richmond Hill/Thornhill
17 Basketball Club,York,Richmond Hill,"11181 Yonge St, Richmond Hill, ON L4S 1L2",416-571-9367,via website,https://www.17basketball.com/,,Club teams,,
Gators Basketball Academy,York/Durham,Markham/Durham/Richmond Hill,"5694 Highway 7, Suite 122, Markham, ON L3P 1B4",(647) 206-3730,via website,https://www.gatorsbasketballacademy.com/,"Teran Richards, Club President","Rep, AAU, Ages 4-19","OBA, AAU",North American exposure tournaments
Durham Blues Basketball,Durham,Durham Region (Pickering/Ajax/Oshawa/Whitby),,647-533-8635,via website,https://www.durhambluesbasketball.com/,,"House league, Rep ages U10-U19",OBA,
Durham City Basketball,Durham,Durham Region,"311 Brock Street North, Whitby, ON L1N 4H8",905-427-4253,via website,https://www.durhamcitybasketball.ca/,,Rep (Durham City Bulldogs),OBA,
Gladiators Basketball (G-Squad),Durham,Orono/Whitby/Oshawa/Pickering/Ajax/Brampton,"7064 Old Kirby School Rd, Orono, ON L0B 1M0",(289) 460-5806,gladiatorsbasketball@gmail.com,https://www.gsquad.us/,,"Rep, Development",,Multi-location gyms
Whitby Wildcat Sports,Durham,Whitby/Oshawa/Ajax,"1020 Dryden Blvd, Whitby, ON",,via website,https://www.whitbywildcatsports.ca/,,"Basketball, Volleyball",,
Whitby Saints Basketball,Durham,Whitby,,,via website,https://www.whitbysaints.com/,,Competitive,,
360 Beyond the Game,Durham,Oshawa/Whitby/Ajax,"PO Box 27007 Simcoe Conlin PO, Oshawa ON L1G 0A3",289-388-0328,via website,https://www.360btg.com/,"Dr. Omar Salim, Co-Director of Coaching Development; Juan Vasquez, League & Camp Coaching Co-Director","House league, Camps, Ages 7-17",,20+ years
Rumi Basketball Academy,Durham,Oshawa/Whitby/Durham,"Kingsway College Athletic Complex, 1200 Leland Rd, Oshawa, ON L1K 2H5",,via website,https://www.rumibasketball.com/,,"Camps, Leagues, Ages 11-14",,20+ years
IEM Basketball,Durham,Durham Region,,905-836-6195,via website,https://www.iembasketball.com/,"Ion Marghetis, President",Rep,OBA,
F.O.R.M. Basketball Academy,Toronto/Scarborough,Scarborough,,,via website,https://formbasketball.com/,"Paul Ekeocha, Founder and President","AAU travel, Ontario & US tournaments",AAU,
Rise Basketball,GTA,Toronto/GTA,"#401 33 St NE, Calgary, AB T2E 7K1",587-899-7473,via website,https://www.rise-basketball.com/,"Kelvin Dela Pena, Founder",Performance training academy,,
Crestwood Prep,Toronto,Toronto,"217 Brookbanks Dr, Toronto, ON M3A2T7",416-391-1441,,https://www.crestwood.on.ca/,"Dave Hecock, Head of School (Upper School)",Prep program,"NPA, OSBA, NSC",Multi-league powerhouse
Ridley College,Niagara,St. Catharines,"P.O. Box 3013, 2 Ridley Road",905-684-1889,,https://www.ridleycollege.com/,"J. Edward Kidd, Headmaster",Prep program,"NPA, OSBA, NSC",Multi-league
Fort Erie International Academy (FEIA),Niagara,Fort Erie,7 Tait Avenue,647-728-7840,info@feia.ca,https://www.feia.ca/,"William Cockburn, Principal",Prep program,"NPA, OSBA",NPA Champions
Lincoln Prep,Hamilton,Hamilton,246 Locke Street South,905-522-0890,admin@lincolnprep.ca,https://www.lincolnprep.ca/,,Prep program,"NPA, OSBA, NJC",Multi-league
J. Addison School,York,Markham,2 Valleywood Drive,905-477-4999,info@jaddisonschool.com,https://jaddisonschool.com/,"Lee Venditti, Supervising Principal",Prep program,"OSBA, NSC, NJC",Multi-league
King Heights Academy,GTA,Ontario,130 Racco Parkway,905-652-1234,info@kingheightsacademy.com,https://kingheightsacademy.com/,,Prep program,"NPA, OSBA",New NPA entrant
Polaris Prep,GTA,Ontario,952 Century Dr,,polarisprepacademy@gmail.com,https://polarisprep.com/,"Ray Kim, Head Coach",Prep program,"NPA, OSBA",International roster
Royal Crown School,Toronto,Toronto,4620 Finch Ave E,416-519-0476,admissions@royalcrownschool.com,https://www.royalcrownschool.com/,"Michael Burke, Head of School",Prep program,"NPA, OSBA",
Scarborough Prep,Toronto,Scarborough,1160 Birchmount Rd,647-693-8929,,https://v3prepbasketball.ca/,"Keir Bryan, Director",Prep program,"OSBA, NSC, NJC",
Bill Crothers SS,York,Markham,"44 Main Street, Unionville, L3R 2E4",(905) 477-8503,bill.crothers.ss@yrdsb.ca,https://billcrothers-ss.yrdsb.ca/,"Wendy Luck, Principal",School program,OSBA,
King's Christian Collegiate,Halton,Oakville,"528 Burnhamthorpe Road West, Oakville, ON L6M 4K6",(905) 257-5464,office@kingschristian.ca,www.kingschristian.ca,"Lisa Conlin, Principal",School program,OSBA,
Orangeville Prep,Dufferin,Orangeville,"207321 Highway 9, Mono, ON L9W 6J2",519-940-3735,info@orangevilleprep.com,orangevilleprep.com,"Tony McIntyre, Director of Basketball Operations",Prep program,OSBA,
Metropolitan Prep Academy,Toronto,Toronto,"49 Mobile Drive, Toronto, ON M4A 1H5",416-285-0870,admissions@metroprep.com,metroprep.com,"Ryan Seeley, Principal",Prep program,NSC,
Niagara Prep,Niagara,Niagara Falls,"6009 Valley Way, Niagara Falls, ON L2E 1X9",,info@niagaraprepbasketball.com,niagaraprepbasketball.com,"Tavon Douglas, Program Director",Prep program,OSBA,
Southwest Academy,London,London,,,,swfacademy.com,"Kevin Barnes, Head Coach",Prep program,OSBA,Women's
TRC Academy,Brant,Brantford,"411 Elgin St., Brantford, ON N3S 7P5",+1-844-493-7473,TRChockey@therisecentre.com,,"Jim Wilson, Chief Executive Officer",Prep program,OSBA,Women's
Central Tech,Toronto,Toronto,"725 Bathurst Street, Toronto, ON M5S 2R5",416-393-0070,centraltechnicalschool@tdsb.on.ca,schoolweb.tdsb.on.ca/centraltechnicalschool,"Anne Chirakal, Principal",School program,OSBA,Women's
Father John Redmond,Toronto,Etobicoke,28 Colonel Samuel Smith Park Drive,416-393-5540,,https://www.tcdsb.org/schools/fatherjohnredmond/,"John D'Onofrio, Principal",School program,OSBA,Women's
Vaughan SS,York,Vaughan,1401 Clark Ave W,905-660-1397,vaughan.ss@yrdsb.ca,,"Maria Maiato, Principal",School program,OSBA,Women's
Cathedral High School,Hamilton,Hamilton,30 Wentworth St N,905-522-3581,[email protected],https://chs.hwcdsb.ca/,"K. Monaco, Principal",School program,NSC,
Pine Ridge SS,Durham,Pickering,2155 Liverpool Rd N,905-420-1885,PineRidgeSS@ddsb.ca,https://pineridgess.ddsb.ca/,"S. Jones, Principal",School program,"NSC, NJC",
St. Benedicts,Waterloo,Kitchener,50 Saginaw Parkway,519-621-4050,,https://stbenedict.wcdsb.ca/,"Jordan Figueiredo, Principal",School program,NSC,
St. Francis,Niagara,St. Catharines,541 Lake Street,905-646-2002,,https://www.stfrancisphoenix.com/,,School program,NSC,
St. Francis Xavier,Peel,Mississauga,50 Bristol Road West,905-507-6666,St.FrancisXavierSSInfo@dpcdsb.org,https://stfxs.dpcdsb.org/,"Ferdinando Tantalo, Principal",School program,NSC,
London Basketball Academy,London,London,,,,https://www.londonbasketballacademy.ca/,"Judy Provenzano, Owner/Director of Operations","Rep, Prep","NSC, NJC",
Oakville Prep,Halton,Oakville,,,,,,Prep program,NJC,
Burlington Force Elite,Halton,Burlington,,,,,,Rep,NJC,
DKH Basketball,GTA,Ontario,,,,,,Rep,NJC,
Triple Balance Academy,GTA,Ontario,,,,,,Prep program,NJC,
Kings Court Academy,GTA,Ontario,,,,,,Academy,NJC,
Hustle Elite Basketball,GTA,Ontario,,,,,,Elite,NJC,
Chatham-Kent Wildcats,Chatham-Kent,Chatham,,,via website,http://www.chathamkentwildcats.com/,,"Rep, House league",OBA,
London CYO Basketball,London,London,,,via website,https://www.londoncyobasketball.com/,,"House league, Rep",,
Orion Basketball,London,London,220 Sunnyside Dr,,via website,https://www.orionbasketball.com/,John Shoemaker - Director and Head Coach,Youth programs,,20+ years
South Windsor Warriors,Windsor,Windsor,2555 College Ave,,info@southwindsorwarriors.com,https://www.southwindsorwarriors.com/,Todd Romiens - Founder,Rep,OBA,
Capital Courts Academy,Ottawa,Ottawa,265 Centrum Blvd,613-762-7330,info@capitalcourts.com,https://capitalcourts.com/cca/,"Fabienne Blizzard, Merrick Palmer - Co-Founders",Prep program,"OSBA, NSC",
Ottawa Elite,Ottawa,Ottawa,P.O. Box 35150 Westgate,,,http://ottawaelite.org/,,Prep program,NSC,
Ashbury College,Ottawa,Ottawa,"362 Mariposa Avenue, Rockcliffe Park",613-749-5954,admissions@ashbury.ca,,Norman Southward - Head of School,School program,NSC,
Core City Hoops,GTA,Ontario,,519-991-2631,via website,https://www.corecityhoops.com/,,Rep,NSC,
Caledon Basketball Academy,Peel,Caledon,"33a King St W, Bolton",(416) 452-9976,caledoncougarsbasketball@gmail.com,https://www.caledoncougars.ca/,,Prep program,OSBA,Women's
UPlay Canada,Ontario,Ontario-wide,908-3969 Kingston Rd,,admin@uplaycanada.com,,Dwayne Washington - CEO/Director,"Elite, Nike EYBL Circuit",Nike EYBL,16U
Grassroots Elite Canada,Ontario,Ontario-wide,,647-703-2691,t_jpoyser@outlook.com,grassrootscanada.org,"Ro Russell, CEO/Founder",AAU elite pathway,AAU,
Simcoe United,Simcoe,Simcoe,,705-717-6449,info@simcoeunitedbasketball.com,simcoeunitedbasketball.com,,Rep,"NJC, NPH Showcase",
Cadougan Elite,GTA,Ontario,,,,cadouganelite.com,"Junior Cadougan, Founder","Rep, Youth development",NPH Showcase,
City Above Elite,GTA,Ontario,1420 Bayly St. Unit 13,833-937-4667,northernkingsacademy@gmail.com,,,"Rep, Prep",NPH Showcase,
CKATT (Cooksville),Peel,Mississauga,,416-346-6244,info@CKATT.com,ckatt.com,,Rep,NPH Showcase,Cooksville area
Team MOBA,GTA,Ontario,,416-725-8226,info@miltonbasketball.ca,miltonbasketball.ca,,Rep,NPH Showcase,
Team Sanctuary,GTA,Ontario,1160 Birchmount Rd,416-826-3391,contact@sanctuarysportcenter.ca,sanctuarysports.ca,,Rep,NPH Showcase,
Underground Basketball Club,GTA,Ontario,,,,undergroundbasketballclub.ca,"Jeremy Granger, Director/Head Coach",Rep,NPH Showcase,
EcoHoops,GTA,Ontario,,,,https://ecohoops.ca/,"Adrian Sapp, Founder/Head Coach",Rep,NPH Showcase,
Excel Hoops Rep,GTA,Ontario,"Turner Fenton Secondary School, 7935 Kennedy Rd S, Brampton, ON L6W 0A2",,info@excelhoops.com,https://www.excelhoops.com/,,Rep,NPH Showcase,
Guardians Basketball,GTA,Ontario,,,info@lasalleguardiansbasketball.com,https://lasalleguardiansbasketball.com/,,Rep,NPH Showcase,
JR Kings,GTA,Ontario,"St Jean De Brebeuf High School, 200 Acadia Dr, Hamilton, L8W 1B7",647-864-5104,jrkingscourtbasketball@gmail.com,https://www.jrkcb.ca/,"Kingsley Hudson, Founder",Rep,NPH Showcase,
MBA Basketball,GTA,Ontario,"6060 Highway 7, Markham, ON L3R 0E2",647-945-6945,,https://mumbabasketball.ca/,"Michael Sousa, President",Rep,NPH Showcase,
Oakville Panthers,Halton,Oakville,Haber Recreation Centre,647-405-2423,chad@oakvillepanthers.com,https://www.oakvillepanthers.com/,"Toney McNeil, CEO/Head Coach",Rep,NPH Showcase,
Underdog Elite,GTA,Ontario,,647-834-1424,underdogathletics30@gmail.com,https://www.underdogathletics.ca/,"Mathushan Srikannathasan, Founder/CEO","Rep, Multi-division",NPH Showcase,U13 to U19
Windsor Suns,Windsor,Windsor,"11870 Solomon St, Windsor, ON",,renevillavecer@yahoo.com,https://www.wpasuns.com/,"Rene Villavecer, Head Coach/President","Rep, Elite",NPH Showcase,
4th Qtr Basketball,GTA,Ontario,135 King St W,,info@4qt.ca,4qt.ca,,Rep,NPH Showcase,
Ball905 Elite,GTA,Ontario,,,register@ball905.com,ball905rep.com,,Rep,NPH Showcase,
Brampton Warriors,Peel,Brampton,"8930 McLaughlin Road South, Building E",(905) 455-5277,info@bramptonbasketball.com,bramptonbasketball.com,Leslie Johnson-Carmichael,Rep,NPH Showcase,
Brantford Hawks,Brant,Brantford,"St. John's College, 80 Paris Rd",(519) 756-9035,brantfordcyoboys@gmail.com,brantfordcyo.ca,Nick Esposito,Rep,NPH Showcase,
Burloak Elite,Halton,Burlington/Oakville,3485 N Service Rd Unit 3,(416) 219-4939,Info@burloakbasketball.com,burloakbasketball.com,Chris Denley,"Rep, Elite",NPH Showcase,Multi-division
Eurostep Basketball,GTA,Ontario,55 Horner Ave,(647) 879-8344,,eurostepbasketball.com,Boris Bakovic,"Rep, Multi-division",NPH Showcase,U15 to U19
Kitchener Impact Academy,Waterloo,Kitchener,10 Executive Place,(519) 896-2122,info@impactbasketball.ca,impactbasketball.ca,Imad Qahwash,"Rep, Academy",NPH Showcase,Red and Black teams
NDL Basketball,GTA,Ontario,,,,,,Rep,NPH Showcase,
North York Lions,Toronto,North York,5863 Leslie St #436,1-888-489-6441,info@pbaa.ca,pbaa.ca,"Terence Phillips, Founder","Rep, Multi-division",NPH Showcase,U15 to U19
Nova Stars Elite,GTA,Ontario,,,,,,Rep,NPH Showcase,
Peel Elite,Peel,Mississauga/Brampton,100 Rutherford Rd S Unit 98,647-914-6871,peelelite.basketball@gmail.com,peel-elite-basketball-monstars.com,Tabitha,Rep,NPH Showcase,
Raiders Basketball,GTA,Ontario,,,,,,Rep,NPH Showcase,
RSB Elite,GTA,Ontario,,289-981-0564,rsbelite@gmail.com,rsbassociation.ca,,Rep,NPH Showcase,
Strive Hoops,GTA,Ontario,114 Dundas Street,519-495-3989,Strivehoopslondon@yahoo.com,strivehoops.com,"Coach H, Founder & Director",Rep,NPH Showcase,
True Balance Basketball,GTA,Ontario,,,,,,Rep,NPH Showcase,
Bordertown Basketball,Niagara,Fort Erie/Niagara,2 Bowden Street,289-696-4655,bordertownbasketball@gmail.com,bordertownbasketball.com,Darrielle Goston / Moses Balabyekkubo,Rep,NPH Showcase,
Brothers Keeper Prep,GTA,Ontario,,,,,,Prep,NPH Showcase,
Canada Phenoms,GTA,Ontario,,,,,,Rep,NPH Showcase,
First Step Basketball,GTA,Ontario,,,,,Jermaine Lyle,Rep,NPH Showcase,
Gwillimbury Basketball United,York,East Gwillimbury,,,,gbunited.ca,,Rep,NPH Showcase,
H5 Academy,GTA,Ontario,"725 Bathurst St, Toronto, ON M5S 2R5",,h5academy@h5f.ca,academy.h5f.ca,Jeremiah Wheatle and Amiga Wheatle,Academy,NPH Showcase,
House of Legends,GTA,Ontario,"1510 Birchmount Rd Unit #111, Scarborough, ON M1P 2G6",647-718-4095,contact@houseoflegends.ca,houseoflegends.ca,Coach Alex,Rep,NPH Showcase,
ONL-X Basketball,GTA,Ontario,,613-316-5668,onlxdirector@gmail.com,onlxbasketball.com,Andrew DiMillo,Rep,"NSC, NPH Showcase",
RWI Basketball,GTA,Ontario,,647-641-1518,rwibasketball@gmail.com,,,Rep,NPH Showcase,
Uda G Elite,GTA,Ontario,,,,,,Rep,NPH Showcase,
Vanguard North,GTA,Ontario,,,,https://vanguardnorthbasketball.ca/,,Rep,NPH Showcase,
Wolverine Elite,GTA,Ontario,"GCBA Box #249, 9-2020 Lanthier Dr., Orleans, ON K4A 3V4",613-834-2178,g_cbasketball@yahoo.ca,,,"Rep, Elite",NPH Showcase,
YvY Elite,GTA,Ontario,,,yvybball@gmail.com,https://yvybasketball.com/,,Rep,NPH Showcase,
1K Elite,GTA,Ontario,,,,,,Rep,NPH Showcase,
Ancaster Magic Basketball,Hamilton,Ancaster,"1045 Upper Paradise Rd, Hamilton, ON L9B 2V2",,ancastermagic@gmail.com,https://www.ancastermagic.ca/,,Rep,NPH Showcase,
Centre Wellington Celtics,Wellington,Fergus/Elora,"Centre Wellington District High School, Fergus, ON",,,https://cwceltics.ca/,,Rep,NPH Showcase,
Edge Basketball,GTA,Ontario,,,,,,"Prep, Varsity","NPA, NPH Showcase",
Elevation Athletics,GTA,Ontario,"461 Park Ave, Newmarket, ON L3Y 3Z1",(289) 500-6277,info@elevationathletics.ca,https://elevationathletics.ca,,Rep,NPH Showcase,
Escadron Basketball,GTA,Ontario,,,,https://escadron.com,,Rep,NPH Showcase,
KW Vipers,Waterloo,Kitchener/Waterloo,"500 Parkside Drive, Waterloo, ON N2L 5J4",519-804-8935,coachqwlu@hotmail.com,https://www.kwyba.com,"Steve Knibb, President",Rep,NPH Showcase,
Pelham Panthers,Niagara,Pelham,"100 Meridian Way, Fonthill, ON L3E 0X1",(905) 732-7655,ppba.registrar@gmail.com,https://pelhambasketball.ca,"Brian Bleich, President",Rep,NPH Showcase,
Retro Elite,GTA,Ontario,"2165 Buckingham Road, Oakville, ON",(647) 904-3420,retrobasketballacademy@gmail.com,https://www.retrobasketballacademy.com,"Coach Williams, Founder and Head Coach",Rep,NPH Showcase,
SC Academy,GTA,Ontario,"Vaughan, ON",,info@sc-academy.ca,https://sc-academy.ca,"Shamar Coombs, Founder and Director of Operations","Academy, Multi-division",NPH Showcase,
Tri-City Basketball,Waterloo,Kitchener/Waterloo/Cambridge,"Waterloo, Ontario",,,,,Rep,"NPA, NPH Showcase",
Vaughan Panthers,York,Vaughan,"3651 Major Mackenzie Dr. W., Suite 373, Woodbridge, Ontario L4H 0A2",905-370-0154,info@vaughanbasketball.com,https://vaughanpanthersbasketball.com,,Rep,NPH Showcase,
Against The Six Prep,GTA,Ontario,,,,,,Prep,NPH Showcase,
Alpha Elite,GTA,Ontario,,,,,,Elite,NPH Showcase,
BGC Thunderbolts,GTA,Ontario,,,,,,Rep,NPH Showcase,
Castlemore Elite,Peel,Brampton,,,,,,"Rep, Elite",NPH Showcase,
DEl1te Basketball,GTA,Ontario,,,,,,Rep,NPH Showcase,
DFA Academy,GTA,Ontario,,,,,,Academy,NPH Showcase,
Dundas Dynamo,Hamilton,Dundas,,,,,,Rep,NPH Showcase,
Elite Academy,GTA,Ontario,,,,,,Academy,NPH Showcase,
Wolverine Academy,GTA,Ontario,,,,,,Academy,NPH Showcase,
YNBA Basketball,GTA,Ontario,,,,,,Rep,NPH Showcase,
B.1.C.E Basketball,GTA,Ontario,,,,,,Girls Rep,NPH Showcase Girls,
Dream Chaserzzz,GTA,Ontario,,,,,,Girls Rep,NPH Showcase Girls,
Dropoff Elite,GTA,Ontario,,,,,,Girls Rep,NPH Showcase Girls,
Sisters Keeper Basketball,GTA,Ontario,,,,,,Girls Rep,NPH Showcase Girls,
Hamilton Elite Prep,Hamilton,Hamilton,,,,,,"Prep, Multi-division",NPH Showcase,
Stoney Creek Basketball,Hamilton,Stoney Creek,,,,,,Rep,NPH Showcase,
Zer0 Doubt Basketball,GTA,Ontario,821 Main Street East,(647) 507-2686,Chadrack_2003@hotmail.com,zerodoubt.ca,"Chadrack Lufile, Founder",Rep,NPH Showcase,
Eastern Basketball Academy,Eastern Ontario,Ontario,1179 Springbank Dr,905-924-3137,info@easternbasketball.ca,easternbasketball.ca,"Dwaine Banes and Kerry Banes, Founders/Co-Directors",Academy,NPH Showcase,
HQ Elite,GTA,Ontario,,,HQelitecanada1@gmail.com,hqcanada.net,"Marquell Fraser, Head Coach and Basketball Director","Rep, Multi-division",NPH Showcase,
Waterloo Wolverines,Waterloo,Waterloo,,(519) 574-4493,,https://waterloowolverines.com,"Chad McPhearson, Director","Rep, Multi-division",NPH Showcase,Gold and Black teams
Guelph Gryphons Basketball,Wellington,Guelph,"304 Stone Road West, Suite 539",(519) 820-1783,administration@guelphbasketball.com,guelphbasketball.com,,Rep,NPH Showcase,
KBA Elite,GTA,Ontario,,,,,,Elite,NPH Showcase,
Kingston Impact,Eastern Ontario,Kingston,"145 Kirkpatrick St, Kingston, ON K7K 2P4",,info@kingstonimpact.ca,kingstonimpact.ca,"Matteke McAuslan, Executive Director",Rep,NPH Showcase,
New Wave Basketball,GTA,Ontario,,,,,,Rep,NPH Showcase,
Rise Up Elite,GTA,Ontario,,,renevillavecer@yahoo.com,,,Elite,NPH Showcase,
The Conglomerate,GTA,Ontario,,,,,,Rep,NPH Showcase,
416 United,Toronto,Toronto,,,416basketballto@gmail.com,416basketball.com,,Rep,NPH Showcase,
Glory Basketball,GTA,Ontario,,,,glorycanball.com,,Rep,NPH Showcase,
Waterloo Wildhawks,Waterloo,Waterloo,"5-420 Erb St W Suite 341, Waterloo, ON, N2L 6K6",519-725-0890,dave@wildhawk.ca,wildhawk.ca,Dave MacNeil (Founder/Director),Rep,NPH Showcase,
West United,GTA,Ontario,,,,,,Rep,NPH Showcase,
WPA Suns,GTA,Ontario,,,renevillavecer@yahoo.com,wpasuns.com,"Rene Villavecer (President, Windsor Pinoy Athletics Suns)",Rep,NPH Showcase,
Cmore Elite,GTA,Ontario,,,cmeelitebasketball23@gmail.com,cmeelitebasketball.com,,Elite,NPH Showcase,
Lead2Greatness,GTA,Ontario,,,,,,Rep,NPH Showcase,
M&R Basketball,GTA,Ontario,"Markham, Ontario",647-927-7091,info@mandrbasketball.ca,www.mandrbasketball.ca,"David Reaume, Roy Singh, Tracy Richardson | Co-Founders",Rep,NPH Showcase,
St. Jude's Basketball,GTA,Ontario,"JK-8: 2150 Torquay Mews, Mississauga; Grades 9-12: 6745 Century Ave, Mississauga",(905) 814-0277,admissions@stjudesacademy.ca,www.stjudesacademy.com,Melissa Chin | Head of School,Prep,"NPA, NPH Showcase",
MC Elite,GTA,Ontario,,,,mcelite.clubcentral.com,,"Rep, Multi-division (Black & White)",NPH Showcase,Grade 10 and Grade 12 divisions
Wiggins Elite,GTA,Ontario,,,,,Nick Wiggins | Founder & CEO,"Rep, Multi-division",NPH Showcase,Grade 10-12
CE23 Academy,Eastern Canada,Newfoundland,"1260 Kenmount Rd, Paradise, NL",709-782-8400,team@ce23basketball.com,www.ce23basketball.com,Carl English | Founder,Academy,NPH Showcase,Coached by Carl English
Gatineau Dragons,Quebec,Gatineau,"145 rue de l'Atmosphère, Gatineau, QC, J9A 3G3; 850 boulevard de la Gappe, Gatineau, QC, J8T 7T7",,info@basketballgatineau.com,www.basketballgatineau.com,Rico Lavoie | Director General,Rep,NPH Showcase,Quebec representation
