club_name,city,website,new_email,new_phone,all_emails_found,all_phones_found
Hamilton Transway Basketball,Hamilton,https://www.transwaybasketball.com/,,810-287-0562,,810-287-0562
Hudson Bay Jr. NBA community program (SKY Basketball),Hudson Bay,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Island Swish,Nanaimo,https://islandswish.com/,,250-327-2416,info@islandswish.com; youremail@email.com; mymail@mailservice.com,250-327-2416
JoooKooo Sports Academy,,https://joookooo.com/,,647-243-6859,connect@joookooo.com,647-243-6859
Junior Bears Basketball Club (University of Alberta),Edmonton,https://bearsandpandas.ca/sports/2020/10/21/junior-bears-basketball-club.aspx,,326-471-3741,,326-471-3741; 444-068-3845; 539-323-7291
Junior Royals Basketball Club (Selkirk),Selkirk,https://www.basketballmanitoba.ca/2018/03/selkirk-junior-royals-basketball-club.html,,204-925-5775,selkirkroyalsbb@outlook.com; info@basketballmanitoba.ca,204-925-5775
Kelvington Jr. NBA community program (SKY Basketball),Kelvington,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Kemptville,Kemptville,https://www.kemptvillewarriors.ca/,,534-864-3784,,534-864-3784; 422-624-7244
Kemptville Warriors,,https://www.kemptvillewarriors.ca/,,534-864-3784,,534-864-3784; 422-624-7244
Kindersley Jr. NBA community program (SKY Basketball),Kindersley,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
LIFT AAU Basketball,Toronto,https://www.letitflybasketball.com/liftaau,info@letitflybasketball.com,,info@letitflybasketball.com,
Langham Jr. NBA community program (SKY Basketball),Langham,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Legacy Athletics / ITD Panthers Basketball Club,Edmonton,https://www.legacyathletics.ca/,,907-815-6314,,907-815-6314; 338-997-6745; 338-998-2286
Legends Basketball (YYC),Calgary,https://www.facebook.com/legendsbasketball.yyc/,,940-333-7390,,940-333-7390; 666-666-6667
Level Up Camps (Sherwood Park basketball camps),Sherwood Park,https://www.levelupcamps.ca/,craig.levelupcamps@gmail.com,,craig.levelupcamps@gmail.com; luke.levelup7@gmail.com; emandmikegreeno@gmail.com,
Little Hoopers (New Tecumseth Jr NBA Basketball Program),Alliston,https://www.littlehoopers.ca/,littlehoopersnt@gmail.com,416-616-2514,littlehoopersnt@gmail.com,416-616-2514
London 86ers,London,https://www.london86ers.com/,thereallondon86ers@gmail.com,,thereallondon86ers@gmail.com; davemckerlie10@gmail.com,
Luseland Jr. NBA community program (SKY Basketball),Luseland,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Markham-Stouffville Basketball Academy (MSBA STORM),Markham/Stouffville,https://www.msbastorm.com/,,254-535-2419,,254-535-2419
Meadow Lake Jr. NBA community program (SKY Basketball),Meadow Lake,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Medicine Hat Golden Hawks Basketball Club,Medicine Hat,https://www.goldenhawksbasketballclub.com/,,403-878-7369,medicinehatgoldenhawks@outlook.com,403-878-7369
Melfort/Kinistino Jr. NBA community program (SKY Basketball),Melfort,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Mile of Gold Basketball Club,,https://www.klswampdonkeys.com/,,356-457-6431,marc.larouche@dsb1.ca; todd.turner@dsb1.ca; jodi.ryan@dsb1.ca; lindsaybballmaclean@gmail.com,356-457-6431; 835-548-8222; 309-786-5384
Mini Indigo / RelÃ¨ve Indigo (CÃ©gep de Granby),Granby,https://cegepgranby.ca/mini-indigo-et-releve-indigo/,,450-372-6614,medesbiens@cegepgranby.qc.ca; mpoirier@cegepgranby.qc.ca; indigo@cegepgranby.qc.ca; info@cegepgranby.qc.ca,450-372-6614
Momentum Sports Group,,https://momentumsportsgroup.ca/,,416-357-4636,info@momentumsportsgroup.ca; admin@momentumsportsgroup.ca,416-357-4636
Montreal Prospects Basketball,"MontrÃ©al (east end: MontrÃ©al-Nord, St-LÃ©onard, Anjou, Pointe-aux-Trembles)",https://basketball.exposureevents.com/organizations/27817/montreal-prospects-basketball,support@exposureevents.com,,support@exposureevents.com; sales@exposureevents.com; apps@exposureevents.com; info@exposureevents.com,502-354-8897
N.W. Sports Club Society (Ballers Basketball),Port Coquitlam,https://nwsportsclub.ca,,778-987-8116,,778-987-8116; 778-288-2553
Next Generation Athletics,Surrey,https://www.nextgenerationathletics.ca/,,604-300-0669,info@nextgenerationathletics.ca; info@nextgenerationathletics.ca\,604-300-0669
Next Generation Basketball,,https://www.nextgenerationbasketballclub.com/,,906-504-1151,info@nextgenerationbasketballclub.com,906-504-1151
Next Level Basketball (NextLevel Sports Academy / Cowichan Valley Basketball),Duncan,https://www.cowichanvalleybasketball.com/,,309-786-5384,,309-786-5384; 771-394-2445; 529-201-1398
Nipawin Jr. NBA community program (SKY Basketball),Nipawin,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
No Limits Youth Organization (Basketball),Quinte/Belleville area,https://nolimitsyouth.ca/,info@nolimitsyouth.ca,613-922-3613,info@nolimitsyouth.ca,613-922-3613
Northern Kings,,https://kingnationbasketball.com/,,833-937-4667,contact@kingnationbasketball.com; vidal@kingnationbasketball.com,833-937-4667
Northern Trailblazers Basketball Association,Fort McMurray,https://northerntrailblazers.com/,rachel@northerntrailblazers.com,,rachel@northerntrailblazers.com; adri@northerntrailblazers.com; info@northerntrailblazers.com,780-881-2968; 780-714-8981
Northstar Basketball (Northstar Sports Foundation),Winnipeg,https://www.northstarbasketball.ca/,,643-961-3626,mbb@northstarbasketball.ca; wbb@northstarbasketball.ca; training@northstarbasketball.ca; info@northstarbasketball.ca,643-961-3626
NuStep Basketball,,https://nustepbasketball.ca/,info@nustep.ca,416-977-8633,info@nustep.ca,416-977-8633
Nunavut Basketball Association (NUBA),Iqaluit,https://www.nunavutbasketball.ca,,460-081-4554,nunavutbasketball@outlook.com,460-081-4554; 314-453-8958; 534-864-3784
Oakville Recreational Basketball League (ORBL),Oakville,http://oakvillerecleagues.ca/,,905-815-6177,orbl@oakville.ca; orpl@oakville.ca; orvl@oakville.ca,905-815-6177
Outlook Jr. NBA community program (SKY Basketball),Outlook,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
PA Thunder Basketball Club,Prince Albert,https://www.facebook.com/thunderbball306/,,940-333-7390,,940-333-7390; 666-666-6667
Paradise Hill Jr. NBA community program (SKY Basketball),Paradise Hill,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Patro de JonquiÃ¨re (basketball program),Saguenay (JonquiÃ¨re),https://www.patrojonquiere.org/activites/activites-sportives/basketball/,,418-542-7536,,418-542-7536
Peterborough City Basketball Club,Peterborough,https://www.peterboroughcitybasketball.com,,309-786-5384,info@peterboroughcitybasketball.com,309-786-5384
Phillips Basketball & Academics Academy (North York Lions),,http://www.pbaa.ca/,,888-489-6441,info@pbaa.ca,888-489-6441
Pictou County Raptors Basketball Association,New Glasgow / Pictou County,https://www.basketballnovascotia.ca/team/pictou-county-raptors-2/,,902-425-5450,bballnovascotia@gmail.com,902-425-5450
Polaris Prep,Burlington,https://polarisprep.com/,,877-897-1033,polarisprepacademy@gmail.com; your@email.com,877-897-1033
Porcupine Plain Jr. NBA community program (SKY Basketball),Porcupine Plain,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Port Elgin Minor Basketball Association (PEMBA),Port Elgin,http://pemba.pointstreaksites.com/view/pemba/,,866-892-0777,,866-892-0777
Prince Edward County Clippers,Prince Edward County,https://www.countyclippers.ca/,,460-081-4554,,460-081-4554; 314-453-8958; 534-864-3784
PrÃ©dateurs NDL (CollÃ¨ge Notre-Dame-de-Lourdes),Longueuil QC,predateurs.ndl.qc.ca,,450-670-4740,predateurs@ndl.qc.ca,450-670-4740
"RISE Basketball / RISE Sports Complex (Team Rise Collective Inc., 'Rise Up Hoops')",Calgary,https://www.rise-basketball.com/,info@risesportscomplex.com,587-899-7473,info@risesportscomplex.com,587-899-7473
RUMI Basketball,Oshawa/Whitby/Durham,https://www.rumibasketball.com/,director@rumibasketball.com,905-767-0399,director@rumibasketball.com; director@360btg.com,905-767-0399
Rapid View Jr. NBA community program (SKY Basketball),Rapid View,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Red Deer Minor Basketball Association (RDMBA),Red Deer,https://www.reddeerbball.ca/,,235-294-1176,,235-294-1176; 939-692-6208; 428-571-4286
Rise Basketball,Toronto/GTA,https://www.rise-basketball.com/,info@risesportscomplex.com,,info@risesportscomplex.com,587-899-7473
RiseUp League,Brampton/Vaughan/Markham/Mississauga/Niagara,https://www.riseupleague.com/,support@riseupleague.com,,support@riseupleague.com; support@riseupleague.com\,
Roots Sports Club,Vernon / Lake Country,https://www.rootssportsclub.ca/,,788-376-3113,,788-376-3113
Rosetown Jr. NBA community program (SKY Basketball),Rosetown,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Rosthern Jr. NBA community program (SKY Basketball),Rosthern,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Rothesay Netherwood School,Rothesay NB,rns.cc,info@rns.cc,,info@rns.cc,506-847-8224; 866-768-4372
Sandy Bay Jr. NBA community program (SKY Basketball),Sandy Bay,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Shoot 360 Regina,Regina,https://www.shoot360.com/regina,info@shoot360regina.com,306-559-7360,info@shoot360regina.com,306-559-7360
Shuswap Hoops Basketball Club,Salmon Arm,https://shuswaphoops.ca,,250-832-6031,shuswaphoops2023@gmail.com; ahenders@sd83.bc.ca; cmueller@sd83.bc.ca; rcadden@sd83.bc.ca,250-832-6031; 250-832-2136; 250-832-2188
South Calgary Community Basketball Association (SoCal / SCCBA),Calgary,https://sccba.ca,,502-067-3322,admin@sccba.ca,502-067-3322
South Delta Basketball Association (SDBA),Delta (Tsawwassen/Ladner),https://www.southdeltabasketball.org,,777-655-9005,,777-655-9005
St. Benedicts,Kitchener,https://stbenedict.wcdsb.ca/,sben.attendance@wcdsb.ca,,sben.attendance@wcdsb.ca; jackie.mcaulayarruda@wcdsb.ca; anton.milardovic@wcdsb.ca,519-621-4050; 519-621-4001; 833-251-3283
St. Catharines CYO Rebels,St Catharines,http://cyobball.com/index.html,,905-227-1314,gerrymcilhone@gmail.com; frank.keltos@gmail.com; dantefpirillo@gmail.com; willcheliak@gmail.com,905-227-1314; 289-213-8540
St. Lawrence Lightning (JUEL),Brockville/Kingston ON,stlawrencelightning.ca,,460-081-4554,,460-081-4554; 314-453-8958; 534-864-3784
St. Walburg Jr. NBA community program (SKY Basketball),St. Walburg,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Steel City Slam,,https://www.steelcityslam.ca/,,534-864-3784,,534-864-3784; 939-280-7051; 783-739-3189
Tecumseh Saints Basketball Association,Tecumseh,https://www.tecumsehsaintsbasketball.com/,,460-081-4554,,460-081-4554; 314-453-8958; 534-864-3784
Terrace Youth Basketball,Terrace,https://www.terrace.ca/parks-recreation/sports-clubs,,250-635-6531,,250-635-6531; 250-635-1454; 250-635-9622
The Basketball Club,,https://www.thebasketballclub.ca/,,201-525-4195,,201-525-4195; 309-786-5384
The Collective Elite Basketball Association,,https://www.thecollectiveelite.ca/,,655-149-4781,info@thecollectiveelite.ca,655-149-4781; 309-786-5384
Thunder Bay Blaze,Thunder Bay,https://tbblaze.teamsnapsites.com/,,807-474-8080,tbayblazebasketball123@gmail.com; rthomso2@lakeheadu.ca,807-474-8080; 807-346-7820
Tisdale Jr. NBA community program (SKY Basketball),Tisdale,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Toronto Chinese Basketball Association (TCBL/TCBA),Toronto/Markham,https://tcba.torontochinese.ca/about-league/,,416-450-0826,,416-450-0826
Turtleford Jr. NBA community program (SKY Basketball),Turtleford,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
Twin City Spinners Wheelchair Basketball,Kitchener-Waterloo,https://tcspinners.wixsite.com/twincityspinners,,460-081-4554,kwspinners@gmail.com,460-081-4554; 314-453-8958; 534-864-3784
Underground Basketball Academy Inc.,Grande Prairie,https://www.undergroundbasketball.ca/,,825-973-9909,your@email.com,825-973-9909
Unity Jr. NBA community program (SKY Basketball),Unity,https://leagues.teamlinkt.com/skybasketball/Communities,,306-780-9264,crrb@sasktel.net; penand00@gmail.com; lwagner@srsd119.ca; aaronfosseneuve@nlsd113.ca,306-780-9264
University Settlement Basketball,Toronto,https://universitysettlement.ca/fitness-and-recreation/basketball/,fitness@universitysettlement.ca,,fitness@universitysettlement.ca; aquatics@universitysettlement.ca,416-598-3444; 416-408-4058; 416-218-8990
Vikes Recreation â€” Vikes Elite Youth Basketball (University of Victoria),Victoria,https://vikesrec.ca/youth/,,250-472-4000,cve@uvic.ca; vikeswrug@uvic.ca; dagar-newman@csipacific.ca; vikesrec@uvic.ca,250-472-4000
Warman Minor Basketball,Warman,https://leagues.teamlinkt.com/smba,,306-249-4712,,306-249-4712
Warman Wolves Basketball Club,Warman,https://www.warman.ca/891/Warman-Wolves-Basketball-Club,,306-933-2133,warmanwolves@gmail.com; admin@warman.ca; csr@warman.ca,306-933-2133; 306-933-2210
West Richmond Summer Slam,Richmond,https://www.westrichmondsummerslam.com/,,604-238-8400,westrich@richmond.ca; wrsummerslam@richmond.ca,604-238-8400
West United Prep,city unconfirmed,linktr.ee/westunitedprepacademy,,737-801-5000,,737-801-5000; 963-199-1000; 829-718-9369
West United Prep Academy,Halton (Oakville/Burlington) ON,linktr.ee/westunitedprepacademy,,737-801-5000,,737-801-5000; 963-199-1000; 829-718-9369
Whitecourt Wolves Community Basketball League (Whitecourt Community Youth Basketball),Whitecourt,https://rec.whitecourt.ca/whitecourt/public/booking/classes/be692a4f-e276-458f-8373-578de50a9cda,,780-778-3637,guestservices@whitecourt.ca,780-778-3637; 780-778-2273; 866-477-1221
Winnipeg Chaos (Chaos Basketball Club),Winnipeg,https://chaosbasketball.ca/,,534-864-3784,chaoswinnipeg@gmail.com; info@mysite.com,534-864-3784; 397-846-3566; 621-207-8359
Winnipeg Wolves Basketball Club,Winnipeg,http://www.winnipegwolves.com,,204-509-3793,mjriley14@gmail.com; rsbanmann@gmail.com; dpokrant@retsd.mb.ca; winnipegwolves@gmail.com,204-509-3793
Wolf Pack Basketball Club,Whitehorse,https://www.wolfpack-basketball.com,,867-334-9498,wolfpack.bball@northwestel.net,867-334-9498
Wolves Athletic Club (Jr. Wolves Basketball / Free Play for Kids),Edmonton,https://www.wolvesathleticclub.com/,,825-901-0484,info@yourbaseballsite.com; wolves@freeplayforkids.com,825-901-0484
Woodbridge Basketball Association,,https://www.wlions.ca/,info@woodbridgebasketball.com,905-851-9444,info@woodbridgebasketball.com; info@wlions.ca,905-851-9444
YM-YWHA Wolves,MontrÃ©al (Snowdon),https://ymywha.com/wolves-basketball/,,514-737-6551,contact@ymywha.com,514-737-6551
YMCA of Fredericton â€” Youth Basketball (Jr. NBA),Fredericton,https://fredericton.ymca.ca/programs/youth-registered-programs-gr-1-8/youth-basketball/,,506-462-3000,info@ymcafredericton.org,506-462-3000
Ã‰cole de basketball Ã‰ric Monkam (EBEM),QuÃ©bec City,https://www.ecolebbemonkam.com/,,534-864-3784,ecolebbemonkam1@gmail.com,534-864-3784
Ã‰cole secondaire Saint-Gabriel (CSSMI),Sainte-ThÃ©rÃ¨se QC,st-gabriel.cssmi.qc.ca,saint-gabriel@cssmi.qc.ca,,saint-gabriel@cssmi.qc.ca; 83bda4d6e0304416af8dc2ec9014a98f@cssmi.qc.ca,450-433-5445; 450-433-5453; 450-433-5454
