club,city,website,kind,value,domain_match,reasons
LIFT AAU Basketball,Toronto,https://www.letitflybasketball.com/liftaau,email,info@letitflybasketball.com,Y,
Legacy Athletics / ITD Panthers Basketball Club,Edmonton,https://www.legacyathletics.ca/,phone,907-815-6314,,
Little Hoopers (New Tecumseth Jr NBA Basketball Program),Alliston,https://www.littlehoopers.ca/,phone,416-616-2514,,
Markham-Stouffville Basketball Academy (MSBA STORM),Markham/Stouffville,https://www.msbastorm.com/,phone,254-535-2419,,
Medicine Hat Golden Hawks Basketball Club,Medicine Hat,https://www.goldenhawksbasketballclub.com/,phone,403-878-7369,,
Mile of Gold Basketball Club,,https://www.klswampdonkeys.com/,phone,356-457-6431,,
Mini Indigo / RelÃ¨ve Indigo (CÃ©gep de Granby),Granby,https://cegepgranby.ca/mini-indigo-et-releve-indigo/,phone,450-372-6614,,
Momentum Sports Group,,https://momentumsportsgroup.ca/,phone,416-357-4636,,
Montreal Prospects Basketball,"MontrÃ©al (east end: MontrÃ©al-Nord, St-LÃ©onard, Anjou, Pointe-aux-Trembles)",https://basketball.exposureevents.com/organizations/27817/montreal-prospects-basketball,email,support@exposureevents.com,Y,
N.W. Sports Club Society (Ballers Basketball),Port Coquitlam,https://nwsportsclub.ca,phone,778-987-8116,,
Next Generation Athletics,Surrey,https://www.nextgenerationathletics.ca/,phone,604-300-0669,,
Next Generation Basketball,,https://www.nextgenerationbasketballclub.com/,phone,906-504-1151,,
No Limits Youth Organization (Basketball),Quinte/Belleville area,https://nolimitsyouth.ca/,email,info@nolimitsyouth.ca,Y,
No Limits Youth Organization (Basketball),Quinte/Belleville area,https://nolimitsyouth.ca/,phone,613-922-3613,,
Northern Kings,,https://kingnationbasketball.com/,phone,833-937-4667,,
Northern Trailblazers Basketball Association,Fort McMurray,https://northerntrailblazers.com/,email,rachel@northerntrailblazers.com,Y,
Northstar Basketball (Northstar Sports Foundation),Winnipeg,https://www.northstarbasketball.ca/,phone,643-961-3626,,
NuStep Basketball,,https://nustepbasketball.ca/,phone,416-977-8633,,
Oakville Recreational Basketball League (ORBL),Oakville,http://oakvillerecleagues.ca/,phone,905-815-6177,,
Patro de JonquiÃ¨re (basketball program),Saguenay (JonquiÃ¨re),https://www.patrojonquiere.org/activites/activites-sportives/basketball/,phone,418-542-7536,,
Phillips Basketball & Academics Academy (North York Lions),,http://www.pbaa.ca/,phone,888-489-6441,,
Pictou County Raptors Basketball Association,New Glasgow / Pictou County,https://www.basketballnovascotia.ca/team/pictou-county-raptors-2/,phone,902-425-5450,,
Polaris Prep,Burlington,https://polarisprep.com/,phone,877-897-1033,,
PrÃ©dateurs NDL (CollÃ¨ge Notre-Dame-de-Lourdes),Longueuil QC,predateurs.ndl.qc.ca,phone,450-670-4740,,
RUMI Basketball,Oshawa/Whitby/Durham,https://www.rumibasketball.com/,email,director@rumibasketball.com,Y,
RUMI Basketball,Oshawa/Whitby/Durham,https://www.rumibasketball.com/,phone,905-767-0399,,
Red Deer Minor Basketball Association (RDMBA),Red Deer,https://www.reddeerbball.ca/,phone,235-294-1176,,
RiseUp League,Brampton/Vaughan/Markham/Mississauga/Niagara,https://www.riseupleague.com/,email,support@riseupleague.com,Y,
Roots Sports Club,Vernon / Lake Country,https://www.rootssportsclub.ca/,phone,788-376-3113,,
Rothesay Netherwood School,Rothesay NB,rns.cc,email,info@rns.cc,Y,
Shoot 360 Regina,Regina,https://www.shoot360.com/regina,phone,306-559-7360,,
Shuswap Hoops Basketball Club,Salmon Arm,https://shuswaphoops.ca,phone,250-832-6031,,
South Delta Basketball Association (SDBA),Delta (Tsawwassen/Ladner),https://www.southdeltabasketball.org,phone,777-655-9005,,
St. Benedicts,Kitchener,https://stbenedict.wcdsb.ca/,email,sben.attendance@wcdsb.ca,Y,
St. Catharines CYO Rebels,St Catharines,http://cyobball.com/index.html,phone,905-227-1314,,
Terrace Youth Basketball,Terrace,https://www.terrace.ca/parks-recreation/sports-clubs,phone,250-635-6531,,
The Basketball Club,,https://www.thebasketballclub.ca/,phone,201-525-4195,,
Thunder Bay Blaze,Thunder Bay,https://tbblaze.teamsnapsites.com/,phone,807-474-8080,,
Toronto Chinese Basketball Association (TCBL/TCBA),Toronto/Markham,https://tcba.torontochinese.ca/about-league/,phone,416-450-0826,,
Underground Basketball Academy Inc.,Grande Prairie,https://www.undergroundbasketball.ca/,phone,825-973-9909,,
University Settlement Basketball,Toronto,https://universitysettlement.ca/fitness-and-recreation/basketball/,email,fitness@universitysettlement.ca,Y,
Vikes Recreation â€” Vikes Elite Youth Basketball (University of Victoria),Victoria,https://vikesrec.ca/youth/,phone,250-472-4000,,
Warman Wolves Basketball Club,Warman,https://www.warman.ca/891/Warman-Wolves-Basketball-Club,phone,306-933-2133,,
West Richmond Summer Slam,Richmond,https://www.westrichmondsummerslam.com/,phone,604-238-8400,,
Whitecourt Wolves Community Basketball League (Whitecourt Community Youth Basketball),Whitecourt,https://rec.whitecourt.ca/whitecourt/public/booking/classes/be692a4f-e276-458f-8373-578de50a9cda,phone,780-778-3637,,
Winnipeg Wolves Basketball Club,Winnipeg,http://www.winnipegwolves.com,phone,204-509-3793,,
Wolf Pack Basketball Club,Whitehorse,https://www.wolfpack-basketball.com,phone,867-334-9498,,
Wolves Athletic Club (Jr. Wolves Basketball / Free Play for Kids),Edmonton,https://www.wolvesathleticclub.com/,phone,825-901-0484,,
Woodbridge Basketball Association,,https://www.wlions.ca/,phone,905-851-9444,,
YM-YWHA Wolves,MontrÃ©al (Snowdon),https://ymywha.com/wolves-basketball/,phone,514-737-6551,,
YMCA of Fredericton â€” Youth Basketball (Jr. NBA),Fredericton,https://fredericton.ymca.ca/programs/youth-registered-programs-gr-1-8/youth-basketball/,phone,506-462-3000,,
Ã‰cole secondaire Saint-Gabriel (CSSMI),Sainte-ThÃ©rÃ¨se QC,st-gabriel.cssmi.qc.ca,email,saint-gabriel@cssmi.qc.ca,Y,
