club,city,contact_group,best_contact,census_systems,team_entries
506 Elite Jr Academy,"Moncton/Irishtown, NB",phone only,(506) 378-2880; IG @the506elite,NJC,1
AD Rebelles (assoc. Louis-Riel),Ottawa (Gloucester),phone only,613-590-2233 · IG @lracademyprep,OSBA,1
City Above Elite,"GTA, ON",social only,IG @cityaboveelite,Coalition+NJC+NPH,11
Wiggins Elite,"GTA, ON",social only,IG @wiggins_elite,NJC+NPH+NSC,7
Ottawa Elite (OYBA),"Ottawa, ON",social only,Contact form; IG @ottawa_elite,NPH,6
Tri-City Prep,"K-W-Cambridge/Guelph, ON",social only,FB @tricitybasketball,NJC+NPH+OSBA,6
Hodan Prep,Vaughan (Thornhill),social only,IG @hodanprep (**2025-26 is final season**),NPH+OSBA,5
"Canada Topflight Academy (Gold, Red)","Ottawa, ON",social only,X @CanadaTopflight,NJC+OSBA,4
ONL-X (Ottawa Next Level),"Ottawa, ON",social only,IG @onlx_basketball,NJC+NPH+NSC,4
Underdog Elite,"GTA (likely), ON",social only,IG @underdogelite__ (verify),NPH,4
Colts Prep (Bill Crothers SS),Markham (Unionville),social only,IG @coltsprepwbb,OSBA,3
Dropoff Elite,"Montreal, QC",social only,IG @dropoffelite,NPH,3
Full Circle Basketball Academy,"Courtice (Durham), ON",social only,X @FCBasketballAc1,NJC+NSC+OSBA,3
G2S Game Changers,"GTA/North York, ON",social only,IG @g2s_gamechangers,NJC+NPH,3
MC Elite,"Toronto, ON",social only,IG/X @mcelitebball,NPH,3
SSF Blizzard (Séminaire Saint-François),"Saint-Augustin-de-Desmaures, QC",social only,FB @BlizzardBasketballSSF,NJC+NSC,3
Tru Balance,"GTA (likely), ON",social only,IG @trubalancehoops,NJC+NPH,3
Against The Six Prep,"Toronto, ON",social only,IG @atsprep,NJC+NPH-SL,2
Hamilton Transformation Academy,"Hamilton, ON",social only,IG @htabasketball,NPH,2
Jungle Prep (Jungle Courts),"Pickering, ON",social only,Contact form; IG @jungleprepbasketball,NJC+NSC,2
LBA (London Basketball Academy),"London, ON",social only,Contact form; IG @lba_prep,NJC+NSC,2
Southwest Academy,London,social only,Form only · IG @swacademywbb,NPH-D1+OSBA,2
West United Prep,Ontario (city unconfirmed),social only,IG @westunitedprepacademy,NPH,2
BALL905 Elite,"GTA (905), ON",social only,IG @ball905rep (site contact page compromised — use IG),NPH-SL,1
Barrie Buccaneers,"Barrie, ON",social only,Contact form; IG @barriebuccaneers,NPH-SL,1
Burlington Hoops Academy,"Burlington/Oakville, ON",social only,Contact form; IG @burlingtonhoopsacademy,NPH-SL,1
Cooksville We>Me 2030,"Mississauga, ON",social only,IG @cooksville2030,NJC,1
DFA Academy,Toronto? (tentative),social only,IG @dfa_basketball (tentative),NPH-SL,1
First Step Elite,"K-W/519, ON",social only,IG @firstepbball,NPH-SL,1
GBU (Gwillimbury Basketball United),"E/W Gwillimbury–Newmarket, ON",social only,IG @gbuclub,NSC,1
GT Elite,"GTA?, ON",social only,IG @gtelite_basketball,NPH-SL,1
Hamilton Elite,"Hamilton, ON",social only,IG @hamiltoneliteteam,NPH-SL,1
Lead2Greatness,"GTA, ON",social only,IG @lead2greatness,NPH-SL,1
Oakville Vytis,"Oakville, ON",social only,IG @oakvillevytis,NPH-SL,1
Ottawa Prospects,"Ottawa, ON",social only,IG @ottawaprospects,NPH-SL,1
Redmond Basketball (Father John Redmond CSS),Toronto (Etobicoke),social only,IG/X @redmondosba,OSBA,1
Richmond Hill Ascend Prep,Richmond Hill,social only,IG @ascend_prep,OSBA,1
"Victory Prep Academy (East, West)",Brampton,social only,IG @victoryprepbrampton,NPH-D1,1
HoopHer,"GTA (Vaughan events), ON",form only,Contact form,NPH-SL,1
SBA Blues,Scarborough,none,,Coalition+NJC+NSC,20
The MUMBA Mentality,,none,,Coalition,18
Born 2 Stand Out,,none,,Coalition,9
Brampton Warriors,Brampton,none,,Coalition,9
iDream by BOA,,none,,Coalition,9
Durham Blues,,none,,Coalition,8
Hoopzone Knights,,none,,Coalition,7
Ottawa Capitals,Ottawa,none,,NPH,6
YNBA,Aurora-Newmarket,none,,Coalition,5
East York Basketball,Toronto,none,,Coalition,4
Father Henry Carr,Toronto (Rexdale),none,,NPH-D1+OSBA,4
NDL,,none,,NPH,4
RWI,,none,,NPH,4
Edge School (Calgary),,none,,NPH,3
Fort Erie International Academy,,none,,OSBA,3
HQ Prep,,none,,NJC+NPH-SL,3
James Cardinal McGuigan,Toronto (North York),none,,NPH-D1+OSBA,3
M and R Basketball,,none,,NPH,3
North Toronto (NTBA),Toronto,none,,Coalition+NPH,3
TNP,,none,,NPH,3
Alpha Elite,,none,,NJC+NPH-SL,2
BCP,,none,,NPH,2
Blessed Sacrament,Toronto,none,,Coalition+NPH-SL,2
Compass Academy (probable match),Unconfirmed,none,—,NJC+NSC,2
Durham Rising Suns,Durham,none,,Coalition,2
Dynastie (ACD),,none,,NPH,2
EM Elite,Not found,none,—,NPH,2
K-W Vipers,Kitchener-Waterloo,none,,Coalition,2
Stags,,none,,Coalition,2
AAA Academy,,none,,NPH-D1,1
Alma Prep,,none,,NPH-D1,1
B1CE London,,none,,NPH-D1,1
Barrie Royals,Barrie,none,,Coalition,1
Brantford Hawks,,none,,NPH-SL,1
Canada Central Prep,,none,,NPH-D1,1
Canadian Private School,,none,,NPH-D1,1
Cathedral,,none,,NPH-D1,1
CB Elite,,none,,NPH-SL,1
CSJV Prep Basketball QC,,none,,NPA,1
Durham Gators,"Durham Region, ON",none,— (portal only),NPH-SL,1
Etobicoke,Toronto,none,,Coalition,1
Fitz Youth,,none,,NPH-D1,1
Fundamentals First,Not found,none,—,NPH-SL,1
Gwillimbury Basketball United,,none,,NPH-SL,1
Hooptrotters OGs,"GTA, ON",none,—,NPH-SL,1
Ignite Academy,Unresolved,none,—,NJC,1
K9 Elite White,,none,,NPH-SL,1
Markham Gators,Markham,none,,NSC,1
Notre Dame Hounds SK,,none,,WNPA,1
NSE Select Academy,Not found,none,—,NJC,1
Prolific Sports Academy,,none,,NPH-D1,1
Rothesay Netherwood School NB,,none,,NPA,1
Sacred Heart Montreal,,none,,WNPA,1
SCI Spartans,Not found (likely a school),none,—,NJC,1
Silver Knights,,none,,Coalition,1
Team CB / CB Elite,Unresolved (Montreal cbelite.ca exists),none,—,NPH-SL,1
The Conglomerate,Not found,none,—,NPH-SL,1
Thornhill Thunder,,none,,NPH-D1,1
Top Left,Not found,none,—,NJC,1
Toronto Triple Threat,Toronto,none,,Coalition,1
Victory Prep,,none,,NPH-D1,1
YASO Basketball Academy Black,,none,,NPH-SL,1
École St-Gabriel,,none,,NPH-D1,1
Edge Varsity,,none,,,
JCC Maccabi Warriors,Toronto,none,,,
JUMP Basketball,Mississauga,none,,,
Kingston Impact,Kingston,none,,,
North Bay Basketball Academy,North Bay,none,,,
NRBA,Niagara,none,,,
Ontario Elite,,none,,,
Pelham,Pelham,none,,,
Pelham Panthers,Niagara,none,,,
Scarborough Blues (SBA),Scarborough,none,,,
St. Lawrence Lightning,Brockville,none,,,
TLB,,none,,,
TPG Basketball,Brampton,none,,,
Tri-County Soldiers,K-W/Cambridge/Guelph,none,,,
