club,city,leagues_from_master,best_contact,tenant_slug,team_entries_censused,census_systems
King Heights Academy,"Vaughan/Thornhill, ON",NPH-SL+OSBA,info@kingheightsacademy.com; 905-652-1234,king-heights-academy,5,NPH+OSBA
Monarchs,"Mississauga, ON",Coalition+NPH-SL+NSC+OBL,info@monarchsbasketball.ca; 905-502-0050,monarchs-basketball-rep-aau,5,Coalition+NSC
PDM Basketball,"Oakville, ON",NPH-D1+NPH-SL,admin@pdmbasketball.com; 647-637-3859,pdm-basketball,5,NPH
William Academy,"Toronto (Scarborough) + Cobourg, ON",NJC+NPH-D1+OSBA,general@williamacademy.ca; 416-491-6888,,5,NJC+NPH-D1+OSBA
YNBA,Aurora-Newmarket,Coalition+JUEL+OBL,,,5,Coalition
"Canada Topflight Academy (Gold, Red)","Ottawa, ON",NJC+OSBA,X @CanadaTopflight,canada-topflight-academy-cta,4,NJC+OSBA
CE23 Academy,"Paradise, NL",NPH-SL,team@ce23basketball.com,ce23-academy,4,NPH
CKATT Basketball,"Mississauga, ON",NJC+NPH-SL,info@CKATT.com; 416-346-6244,ckatt-cooksville,4,NJC+NPH
East York Eagles,,,,,4,Coalition
Father Henry Carr,Toronto (Rexdale),NPH-D1+OSBA,,,4,NPH-D1+OSBA
"MBA (likely MUMBA, Markham — verify)","Markham, ON",NPH-D1+NPH-SL,647-945-6945,,4,NPH
NDL,,NPH-D1,,,4,NPH
North York Lions (PBAA),"North York, ON",NPH-SL,info@pbaa.ca; 1-888-489-6441,north-york-lions,4,NPH
ONL-X (Ottawa Next Level),"Ottawa, ON",NJC+NPH-D1+NPH-SL+NSC,IG @onlx_basketball,onl-x-basketball,4,NJC+NPH+NSC
Orangeville Prep / Athlete Institute,,,,,4,OSBA
RWI,,,,,4,NPH
Simcoe United,,,,,4,NJC+NSC
Tall Pines Academy,Brampton,NPH-D1+OSBA,info@tallpinesschool.com · 905-458-6770,,4,NPH+OSBA
Underdog Elite,"GTA (likely), ON",NPH-SL,IG @underdogelite__ (verify),underdog-elite,4,NPH
Victory Academy / Victory Prep (East + West),,,,,4,OSBA
Brotherhood Elite,"GTA West/East + Ottawa, ON",NPH-SL+NSC,info@brotherhoodelite.ca; 647-545-0664,,3,NPH+NSC
Capital Courts Academy,"Ottawa (Orléans), ON",NPH-SL+OSBA,info@capitalcourts.com,capital-courts-academy,3,NPH-SL+OSBA
Colts Prep (Bill Crothers SS),Markham (Unionville),OSBA,IG @coltsprepwbb,,3,OSBA
Dropoff Elite,"Montreal, QC",NPH-D1+NPH-SL,IG @dropoffelite,dropoff-elite,3,NPH
Edge School (Calgary),,,,,3,NPH
Fort Erie International Academy,,,,,3,OSBA
Full Circle Basketball Academy,"Courtice (Durham), ON",NJC+NSC+OSBA,X @FCBasketballAc1,,3,NJC+NSC+OSBA
G2S Game Changers,"GTA/North York, ON",NJC+NPH-SL,IG @g2s_gamechangers,g2s-game-changers,3,NJC+NPH
HQ Prep,,,,,3,NJC+NPH-SL
James Cardinal McGuigan,Toronto (North York),NPH-D1+OSBA,,,3,NPH-D1+OSBA
"Kings Court (JR Kings Court, probable)","Hamilton, ON",NJC+NPH-SL,jrkingscourtbasketball@gmail.com; 647-864-5104,kings-court-academy,3,NJC+NPH
M and R Basketball,,,,,3,NPH
MC Elite,"Toronto, ON",NPH-SL,IG/X @mcelitebball,mc-elite,3,NPH
Niagara Prep (A.N. Myer SS),Niagara Falls,OSBA,info@niagaraprepbasketball.com,niagara-prep,3,OSBA+WNPA
North Toronto Huskies (NTBA),"Toronto, ON",NPH-SL,NTBARegistrar@bell.net,,3,Coalition+NPH
Simcoe United Spartans,"Barrie/Simcoe County, ON",NJC+NPH-SL+NSC,info@simcoeunitedbasketball.com; 705-717-6449,simcoe-united,3,NPH
SSF Blizzard (Séminaire Saint-François),"Saint-Augustin-de-Desmaures, QC",NJC+NSC,FB @BlizzardBasketballSSF,,3,NJC+NSC
St. Michael's College School,"Toronto, ON",NPH-D1+NPH-SL+OSBA,info@smcsmail.com; 416-653-3180,,3,NPH+OSBA
TNP,,,,,3,NPH
Tru Balance,"GTA (likely), ON",NJC+NPH-SL,IG @trubalancehoops,,3,NJC+NPH
Uchenna Academy,Toronto (950 Dupont),NPH-D1+OSBA,info@uchenna.ca · 416-855-5572,,3,NPH-D1+OSBA
Vanguard (North),,,,,3,NJC+NSC
Vanguard North Prep,"Vaughan, ON",NJC+NPH-SL+NSC,vanguardnorth29@gmail.com; 416-875-2733,vanguard-north,3,NPH
Vaughan Panthers,"Vaughan (Woodbridge), ON",Coalition+NPH-SL+OBL,info@vaughanbasketball.com; 905-370-0154,vaughan-panthers,3,Coalition+NPH
Westfield Secondary,,,,,3,NPH
Against The Six Prep,"Toronto, ON",NJC+NPH-SL,IG @atsprep,against-the-six-prep,2,NJC+NPH-SL
Alpha Elite,,,,,2,NJC+NPH-SL
BCP,,,,,2,NPH
Blessed Sacrament,Toronto,Coalition,,blessed-sacrament-basketball,2,Coalition+NPH-SL
CALI Prep Academy,"Pickering, ON",NJC+NSC,contact@caliprepacademy.com; 833-937-4667,,2,NJC+NSC
Compass Academy (probable match),Unconfirmed,NJC+NSC,—,,2,NJC+NSC
Durham Rising Suns,Durham,Coalition,,,2,Coalition
Dynastie (ACD),,NPH-D1,,,2,NPH
Eastern Basketball Academy,"Durham Region, ON",NJC+NPH-SL,info@easternbasketball.ca; 905-924-3137,eastern-basketball-academy,2,NJC+NPH-SL
EM Elite,Not found,NPH-SL,—,,2,NPH
H5 Academy (High Five Foundation),Toronto (725 Bathurst),OSBA,h5academy@h5f.ca,h5-academy,2,OSBA
Hamilton Transformation Academy,"Hamilton, ON",NPH-SL,IG @htabasketball,,2,NPH
Inspire Academy (YAAACE),Toronto (North York),OSBA,info@yaaace.com · 416-567-7994,,2,OSBA
J. Addison School,Markham,NPH-D1+OSBA,info@jaddisonschool.com · 905-477-4999,j-addison-school,2,OSBA
Jungle Prep (Jungle Courts),"Pickering, ON",NJC+NSC,Contact form; IG @jungleprepbasketball,,2,NJC+NSC
K-W Vipers,Kitchener-Waterloo,Coalition,,,2,Coalition
King's Christian Collegiate,Oakville,OSBA,office@kingschristian.ca · 905-257-5464,king-s-christian-collegiate,2,OSBA+WNPA
LBA (London Basketball Academy),"London, ON",NJC+NSC,Contact form; IG @lba_prep,,2,NJC+NSC
Lo-Ellen Park Prep,Sudbury,OSBA,705-522-2320 · X @LEPPrep,,2,OSBA
London Ramblers,"London, ON",NJC,ramblercoach@gmail.com; 519-850-4318,,2,NJC
Louis-Riel Academy (CEPEO),Ottawa (Gloucester),OSBA,louis-riel@cepeo.on.ca · 613-590-2233,,2,OSBA
Malton Sting Basketball,"Mississauga (Malton), ON",NPH-SL,maltonsting.bc@gmail.com,,2,NPH
Milton Stags,,,,,2,Coalition
Orangeville Prep (Athlete Institute) — Varsity,"Mono/Orangeville, ON",NSC,info@orangevilleprep.com; 519-940-3735,orangeville-prep,2,NPH-SL+NSC
Project Excellence,"Scarborough, ON",NJC+NSC,647-705-0217; inquiry form,,2,NJC+NSC
Retro Elite (Retro Basketball Academy),"Oakville/Mississauga/Brampton, ON",NPH-SL,retrobasketballacademy@gmail.com; 647-904-3420,retro-elite,2,NPH
Ridley College,St. Catharines,OSBA,admissions@ridleycollege.com · 905-684-1889,ridley-college,2,NPA+OSBA
SBA Premier (Scarborough Basketball Association),"Scarborough, ON",NJC+NSC,416-551-7554; contact form,,2,NJC+NSC
Southwest Academy,London,NPH-D1+OSBA,Form only · IG @swacademywbb,southwest-academy,2,NPH-D1+OSBA
Ste Cecile Academy (Windsor),"Windsor, ON",NPH-D1+NSC,info@stececile.ca; 519-969-1291,,2,NPH-D1+NSC
Top Notch Prep,,,,,2,NJC
Waterloo Wolverines Elite,,,,,2,NPH
West United Prep,Ontario (city unconfirmed),NPH-SL+NSC,IG @westunitedprepacademy,west-united,2,NPH
Westfield Prep,,,,,2,NJC+NSC
Wolverines Elite (Waterloo Wolverines),"Kitchener-Waterloo, ON",NJC+NPH-SL+NSC,519-574-4493,,2,NJC+NSC
506 Elite Jr Academy,"Moncton/Irishtown, NB",NJC,(506) 378-2880; IG @the506elite,,1,NJC
AAA Academy,,NPH-D1,,,1,NPH-D1
Ace Acumen Heights Academy,Toronto (Don Mills) + Brampton,OSBA,admissions@aahs.ca · 416-756-7227,,1,OSBA
AD Rebelles (assoc. Louis-Riel),Ottawa (Gloucester),OSBA,613-590-2233 · IG @lracademyprep,,1,OSBA
Alma Prep,,NPH-D1,,,1,NPH-D1
B1CE London,,NPH-D1,,,1,NPH-D1
BALL905 Elite,"GTA (905), ON",NPH-SL,IG @ball905rep (site contact page compromised — use IG),ball905-elite,1,NPH-SL
Barrie Buccaneers,"Barrie, ON",NPH-SL,Contact form; IG @barriebuccaneers,,1,NPH-SL
Barrie Royals,Barrie,Coalition,,,1,Coalition
Brantford Hawks,,,,,1,NPH-SL
Burlington Force (Burlington Basketball),"Burlington, ON",NPH-SL,Operations@BurlingtonBasketball.ca; 905-220-3735,burlington-force-elite,1,NPH-SL
Burlington Hoops Academy,"Burlington/Oakville, ON",NPH-SL,Contact form; IG @burlingtonhoopsacademy,,1,NPH-SL
C.O.D.E Sports Academy,,,,,1,WNPA
Cambridge International Academy,Whitby (300 Water St),OSBA,info@cambridgeinternationalacademy.ca · 905-426-4254,,1,OSBA
Canada Central Prep,,NPH-D1,,,1,NPH-D1
Canadian Private School,,NPH-D1,,,1,NPH-D1
Cathedral,,NPH-D1,,,1,NPH-D1
CB Elite,,,,,1,NPH-SL
Collective Elite Academy,"Brampton, ON",NJC,info@thecollectiveelite.ca,elite-academy,1,NJC
Cooksville We>Me,,,,,1,NJC
CSJV Prep Basketball QC,,,,,1,NPA
DEl1te,"Winnipeg, MB (verify)",NPH-SL,delitewpg@gmail.com; IG @delite_mbb,,1,NPH-SL
DFA Academy,Toronto? (tentative),NPH-SL,IG @dfa_basketball (tentative),dfa-academy,1,NPH-SL
Dundas Dynamo,"Dundas (Hamilton), ON",NPH-SL,basketballdundas@gmail.com; 905-628-4966,dundas-dynamo,1,NPH-SL
Durham Gators,"Durham Region, ON",NPH-SL,— (portal only),durham-gators,1,NPH-SL
"Dynamic Basketball (DBDA, probable)","Toronto, ON",NSC,dynamicbball@gmail.com; 416-994-1676,,1,NSC
Elton Academy,"Richmond Hill, ON",NSC,info@eltonacademy.ca; 905-731-0505,,1,NSC
Etobicoke Thunder,,,,,1,Coalition
F.O.R.M. Basketball Academy,"Vancouver, BC",NSC,coaches@formbasketball.com,f-o-r-m-basketball-academy,1,NSC
First Step Elite Gold,,,,,1,NPH-SL
Fitz Youth,,NPH-D1,,,1,NPH-D1
Fundamentals First,Not found,NPH-SL,—,fundamentals-first,1,NPH-SL
Gators Basketball Academy,"Markham/Richmond Hill/Durham, ON",NSC,contactgatorsacademy@gmail.com; 647-206-3730,gators-basketball-academy,1,NSC
GBU (Gwillimbury Basketball United),"E/W Gwillimbury–Newmarket, ON",NPH-SL+NSC,IG @gbuclub,,1,NSC
Grassroots Niagara (Blueprint),"Niagara Region, ON",NPH-SL,blueprint_training@hotmail.com; 905-714-5520,grassroots-niagara,1,NPH-SL
GT Elite,"GTA?, ON",NPH-SL,IG @gtelite_basketball,,1,NPH-SL
Gwillimbury Basketball United,,,,,1,NPH-SL
GYBA Gryphons (Guelph Youth Basketball),"Guelph, ON",NPH-SL,administration@guelphbasketball.com,,1,NPH-SL
Hamilton Elite,"Hamilton, ON",NPH-SL,IG @hamiltoneliteteam,hamilton-elite-prep,1,NPH-SL
HoopHer,"GTA (Vaughan events), ON",NPH-SL,Contact form,,1,NPH-SL
Hooptrotters OGs,"GTA, ON",NPH-SL,—,,1,NPH-SL
Ignite Academy,Unresolved,NJC,—,,1,NJC
J. Addison Jaguars,,,,,1,NPH-D1
K9 Elite White,,,,,1,NPH-SL
Lead2Greatness,"GTA, ON",NPH-SL,IG @lead2greatness,lead2greatness,1,NPH-SL
M&R Basketball,"Markham/Ajax, ON",NPH-SL+NSC,info@mandrbasketball.ca; 647-927-7091,m-r-basketball,1,NSC
Mississauga Monarchs,,,,,1,NPH-SL
Momentum Basketball (Momentum Sports Group),"Toronto (Don Mills), ON",NPH-SL,info@momentumsportsgroup.ca,momentum-basketball,1,NPH-SL
Norwood Stars,Unconfirmed (ON),NPH-SL,norwoodstarsbasketball@gmail.com (verify); IG @norwoodstars_basketball,norwood-stars,1,NPH-SL
Notre Dame Hounds SK,,,,,1,WNPA
NSE Select Academy,Not found,NJC,—,,1,NJC
Oakville Panthers,"Oakville, ON",NPH-SL,chad@oakvillepanthers.com; 647-405-2423,oakville-panthers,1,NPH-SL
Oakville Vytis,"Oakville, ON",JUEL+NPH-SL,IG @oakvillevytis,,1,NPH-SL
Orillia Lakers,"Orillia, ON",NPH-SL,vicepresident@orillialakers.com,,1,NPH-SL
Ottawa Prospects,"Ottawa, ON",NPH-SL,IG @ottawaprospects,,1,NPH-SL
Prolific Sports Academy,,NPH-D1,,,1,NPH-D1
Redmond Basketball (Father John Redmond CSS),Toronto (Etobicoke),OSBA,IG/X @redmondosba,,1,OSBA
Richmond Hill Ascend Prep,Richmond Hill,OSBA,IG @ascend_prep,,1,OSBA
Rothesay Netherwood School NB,,,,,1,NPA
RSB Elite (RSB Association),"GTA, ON",NJC,rsbelite@gmail.com; 289-981-0564,rsb-elite,1,NJC
RWI519 (RUN WITH It Basketball),SW Ontario (519),NJC+NPH-SL,rwibasketball@gmail.com; IG @rwi519,,1,NJC
Sacred Heart Montreal,,,,,1,WNPA
SCI Spartans,Not found (likely a school),NJC,—,,1,NJC
Silver Knights,,Coalition,,,1,Coalition
Strive Hoops,"London, ON",NJC,strivehoopslondon@yahoo.com; 519-495-3989,strive-hoops,1,NJC
TC Soldiers (Tri-County Soldiers),"K-W/Cambridge/Guelph, ON",NPH-SL,elopez@soldiersbasketball.ca; 519-498-2703,tc-soldiers,1,NPH-SL
Team CB,,,,,1,NPH-SL
Team Sanctuary (Sanctuary Sports),"Scarborough, ON",NJC,contact@sanctuarysportcenter.ca; 416-826-3391,team-sanctuary,1,NJC
Team Thetford (Atelier 803),"Thetford Mines, QC",NSC,info@atelier803.ca,,1,NSC
The Conglomerate,Not found,NPH-SL,—,the-conglomerate,1,NPH-SL
Thornhill Thunder,,NPH-D1,,,1,NPH-D1
Top Left,Not found,NJC,—,,1,NJC
Tornades Basketball (likely Longueuil — verify),"Longueuil, QC",NPH-SL,tornadesbasketball@gmail.com,,1,NPH-SL
Toronto Top Tier East,,,,,1,NPH-SL
Toronto Triple Threat,Toronto,Coalition,,toronto-triple-threat,1,Coalition
Triple Balance,"Scarborough + Durham, ON",NSC,Info@triplebalance.ca,triple-balance-academy,1,NSC
UEWB (Unite Everyone With Basketball),"GTA, ON",NJC,uewbcanada@gmail.com; IG @uewbcanada,,1,NJC
Union Elite,"Ajax/Durham, ON",NPH-SL,info@unionelitebasketball.com; 647-963-5483,,1,NPH-SL
Victory Prep,,NPH-D1,,,1,NPH-D1
"Victory Prep Academy (East, West)",Brampton,OSBA,IG @victoryprepbrampton,,1,NPH-D1
West Ottawa,,,,,1,NPH-SL
YASO Basketball Academy Black,,,,,1,NPH-SL
École St-Gabriel Escadron,,,,,1,NPH-D1
Alpha Elite Sports Group,"Mississauga, ON",NJC+NPH-SL,contact@alphaelitesportsgroup.com; 647-618-9295,alpha-elite,,
Blessed Sacrament CYO (Yellow Jackets),"Hamilton, ON",NPH-SL,blessedscyo@gmail.com,,,
Brantford CYO Hawks,"Brantford, ON",NPH-SL,brantfordcyoboys@gmail.com,,,
Cooksville We>Me 2030,"Mississauga, ON",NJC,IG @cooksville2030,,,
Crestwood Preparatory College (+ Blue),Toronto (North York),OSBA,416-391-1441,crestwood-prep,,
East York Basketball,Toronto,Coalition+OBL,,east-york-basketball,,
Edge Varsity,,NPH-D1,,,,
Etobicoke,Toronto,Coalition,,,,
First Step Elite,"K-W/519, ON",NPH-SL,IG @firstepbball,first-step-elite,,
HQ Prep / HQ Elite Canada,"Hamilton, ON",NJC+NPH-SL,HQelitecanada1@gmail.com,,,
JCC Maccabi Warriors,Toronto,Coalition,,,,
JUMP Basketball,Mississauga,OBL,,jump-basketball,,
K9 Elite Hoopers,"GTA, ON",NPH-SL,infok9elite@gmail.com; IG @K9Elitehoopers,k9-elite,,
Kingston Impact,Kingston,JUEL,,kingston-impact,,
Markham Gators,Markham,OBL,,,,
North Bay Basketball Academy,North Bay,OBL,,,,
North Toronto (NTBA),Toronto,Coalition,,north-toronto-basketball-association-ntba,,
NRBA,Niagara,Coalition,,,,
Ontario Elite,,OBL,,,,
Orangeville Prep / Varsity (Athlete Institute),Mono (Orangeville),OSBA,info@orangevilleprep.com · 519-940-3735,orangeville-prep,,
Ottawa Capitals,Ottawa,JUEL,,,,
Pelham,Pelham,Coalition,,,,
Pelham Panthers,Niagara,JUEL,,pelham-panthers,,
Royal Crown Academic School,"Scarborough, ON",NPH-D1+NPH-SL+OSBA,admissions@royalcrownschool.com; 416-519-0476,royal-crown-school,,
SBA Blues,Scarborough,JUEL+OBL,,scarborough-basketball-association-sba,,
Scarborough Blues (SBA),Scarborough,Coalition,,,,
St. Lawrence Lightning,Brockville,JUEL,,,,
Stags,,Coalition,,,,
Team CB / CB Elite,Unresolved (Montreal cbelite.ca exists),NPH-SL,—,cb-elite,,
TLB,,Coalition,,,,
Top Notch Prep / TNP (Top Notch Stars),"Vaughan, ON",NJC+NPH-D1+NPH-SL,info@topnotchstars.com; 647-689-2311,,,
Toronto Top Tier,"Etobicoke, ON",NPH-SL,torontotoptierhoops@gmail.com; 416-708-3508,toronto-top-tier,,
TPG Basketball,Brampton,OBL,,,,
Tri-County Soldiers,K-W/Cambridge/Guelph,JUEL,,,,
West Ottawa Basketball Association,"Ottawa (Kanata/Stittsville), ON",NPH-SL,westottawabasketball@gmail.com,,,
Westfield Prep / Westfield Secondary,"Toronto (North York), ON",NJC+NPH-D1+NPH-SL+NSC,contact@westfieldeducation.ca; 416-613-0289,,,
YASO Basketball Academy,"Oakville, ON",NPH-SL,yasobasketballacademy@gmail.com; 905-616-7342,,,
École St-Gabriel,,NPH-D1,,,,
