club,city,website,email,phone,leader,social
Prédateurs NDL (Collège Notre-Dame-de-Lourdes),Longueuil QC,predateurs.ndl.qc.ca,predateurs@ndl.qc.ca,450-670-4740 x265,Francis Lauzière (Program Director),IG @ndlbasketball
Redmond Redhawks OSBA (Father John Redmond CSS),Toronto (Etobicoke) ON,redmondredhawks.com,fourpointbasketball@gmail.com,,Ray Chateau (Program Dir); Warren Williams (HC),IG @redmondosba
Richmond Hill Ascend Prep,Richmond Hill ON,,,,"Rustom Ahmed (assoc, unconfirmed)",IG @ascend_prep
Rothesay Netherwood School,Rothesay NB,rns.cc,info@rns.cc; admission@rns.cc,506-847-8224,Paul McLellan (Head of School),FB @RNS1877
RUN WITH It (RWI/RWI 519),K-W/519 ON,,rwibasketball@gmail.com,,"""Coach Ty""",IG @rwibasketball
Sacred Heart School of Montreal,Montreal QC,sacredheart.qc.ca,info@sacredheart.qc.ca; admissions@sacredheart.qc.ca,514-937-2845,Stephanie Broadhurst (Enrolment Dir),FB @SacredHeartMontreal
SBA (Scarborough BA / Blues),Scarborough ON,sbabasketball.ca,info@sbablues.ca,416-551-7554,Sam Moncada (Pres); Darlene Anstice (ED),IG @sbabball
Scarborough Basketball Assn (SBA/Blues),Scarborough ON,sbabasketball.ca,info@sbablues.ca; ola@sbabasketball.ca,416-551-7554,Sam Moncada (Pres); Darlene Anstice (ED),IG @sbabball
"Silverthorn CI Spartans (SCI, TDSB)",Etobicoke ON,schoolweb.tdsb.on.ca/silverthornci,silverthorn@tdsb.on.ca,416-394-7010,,IG @sci_basketball
Southwest Academy Prep,London ON,southwestacademy.ca,(form only),,Kevin Barnes (Founder/HC),IG @swacademywbb
St. Lawrence Lightning (JUEL),Brockville/Kingston ON,stlawrencelightning.ca,(via kingstonimpact.ca),,Jason Reynolds (HC),IG @stlawrencejuel
Séminaire Saint-François (Blizzard),Saint-Augustin-de-Desmaures QC,ssfblizzard.com,,418-872-0611,Jean-François Boisvert (DG),FB @BlizzardBasketballSSF
The Conglomerate,UNRESOLVED (NPH SL),,,,,
The Performance Group BA (TPG),Brampton ON,performancegroupbasketball.com,thepgba@gmail.com,647-501-9805 / 416-875-9324,Alfred Brown (Pres); Elvis Dennis (Sr HC),IG @tpgbasketball
Thornhill Thunder (Thornhill BA),Thornhill/Vaughan ON,thornhillbasketball.ca,,647-557-6737,,IG @thornhillbball
TLB Elite,GTA ON,,,,,IG @tlb_elite_basketball
Top Notch Prep Academy (TNPA),Vaughan/North GTA ON,,,,,IG @topnotchprepacademy
Toronto Triple Threat BC,Toronto ON,torontotriplethreat.com,tttbasketballclub@gmail.com,,Norman Clarke (Pres); Naomi Mullings (Tech Dir),IG @tttbasketballclub
Tri-City Prep BA,K-W-Cambridge/Guelph ON,tricityba.com,,,Srdjan Pejicic (Founder/HC),IG @tricityba
Tri-County Soldiers BC,Waterloo/Kitchener ON,soldiersbball.ca,elopez@soldiersbasketball.ca,519-498-2703,Eddie Lopez (Dir),IG @soldiersbball
Tru Balance Hoops,GTA/Toronto ON,,,,"""Coach Rodney""",IG @trubalancehoops
Underdog Elite (Underdog Athletics),Toronto/Mississauga/Milton ON,underdogathletics.ca,underdogathletics30@gmail.com,647-834-1424,Mathushan Sri (Founder),IG @underdogelite__
Victory Academy/Prep Brampton,Brampton ON,victoryacademybasketball.com,admin@victoryacademybasketball.com,832-660-6151 (verify US area code),,IG @victoryprepbrampton
Victory Prep (Brampton),Brampton ON,,,,,IG @victoryprepbrampton
West United Prep Academy,Halton (Oakville/Burlington) ON,linktr.ee/westunitedprepacademy,westunitedprepacademy@gmail.com,,,IG @westunitedprepacademy
Wiggins Elite,GTA ON,wigginselite.com,,,Wiggins family,IG @wiggins_elite
YASO Basketball Academy,Oakville ON,yasobasketball.ca,yasobasketballacademy@gmail.com,905-616-7342,Andrija Sola (HC),IG @yasobasketball
York North BA (YNBA),Newmarket ON,ynba.ca,admin@ynba.ca,905-853-9102,Jason Scott (Founder); Dave Bannister (Pres); Matthew Cundari (ED),IG @ynbaball
York South Silver Knights,Richmond Hill/Markham ON,silverknightsbasketball.com,ysskbc@gmail.com,416-895-1730,Sam Bongiorno (Dir Ops),FB /silverknightsbasketball
École secondaire Saint-Gabriel (CSSMI),Sainte-Thérèse QC,st-gabriel.cssmi.qc.ca,saint-gabriel@cssmi.qc.ca; stg.info.sport-etudes@cssmi.qc.ca,450-433-5445,Jude-Alain Mathieu (Sport-études Dir),(school FB)
