club,city,leagues,n_leagues,contact,tenant
Brotherhood Elite,"GTA West/East + Ottawa, ON",NPH-SL+NSC,2,info@brotherhoodelite.ca; 647-545-0664,
C.O.D.E. Academy,"Whitby, ON",NJC+OSBA,2,info@codeprep.ca,
CALI Prep Academy,"Pickering, ON",NJC+NSC,2,contact@caliprepacademy.com; 833-937-4667,
"Canada Topflight Academy (Gold, Red)","Ottawa, ON",NJC+OSBA,2,X @CanadaTopflight,canada-topflight-academy-cta
Capital Courts Academy,"Ottawa (Orléans), ON",NPH-SL+OSBA,2,info@capitalcourts.com,capital-courts-academy
City Above Elite,"GTA, ON",NJC+NPH-SL,2,IG @cityaboveelite,city-above-elite
CKATT Basketball,"Mississauga, ON",NJC+NPH-SL,2,info@CKATT.com; 416-346-6244,ckatt-cooksville
Compass Academy (probable match),Unconfirmed,NJC+NSC,2,—,
Dragons de Gatineau (Basketball Gatineau),"Gatineau, QC",NPH-D1+NPH-SL,2,info@basketballgatineau.com,
Dropoff Elite,"Montreal, QC",NPH-D1+NPH-SL,2,IG @dropoffelite,dropoff-elite
East York Basketball,Toronto,Coalition+OBL,2,,east-york-basketball
Eastern Basketball Academy,"Durham Region, ON",NJC+NPH-SL,2,info@easternbasketball.ca; 905-924-3137,eastern-basketball-academy
Father Henry Carr,Toronto (Rexdale),NPH-D1+OSBA,2,,
G2S Game Changers,"GTA/North York, ON",NJC+NPH-SL,2,IG @g2s_gamechangers,g2s-game-changers
GBU (Gwillimbury Basketball United),"E/W Gwillimbury–Newmarket, ON",NPH-SL+NSC,2,IG @gbuclub,
Hodan Prep,Vaughan (Thornhill),NPH-D1+OSBA,2,IG @hodanprep (**2025-26 is final season**),
HQ Prep / HQ Elite Canada,"Hamilton, ON",NJC+NPH-SL,2,HQelitecanada1@gmail.com,
J. Addison School,Markham,NPH-D1+OSBA,2,info@jaddisonschool.com · 905-477-4999,j-addison-school
James Cardinal McGuigan,Toronto (North York),NPH-D1+OSBA,2,,
Jungle Prep (Jungle Courts),"Pickering, ON",NJC+NSC,2,Contact form; IG @jungleprepbasketball,
King Heights Academy,"Vaughan/Thornhill, ON",NPH-SL+OSBA,2,info@kingheightsacademy.com; 905-652-1234,king-heights-academy
"Kings Court (JR Kings Court, probable)","Hamilton, ON",NJC+NPH-SL,2,jrkingscourtbasketball@gmail.com; 647-864-5104,kings-court-academy
LBA (London Basketball Academy),"London, ON",NJC+NSC,2,Contact form; IG @lba_prep,
Lincoln Prep,Hamilton,NPH-D1+OSBA,2,admin@lincolnprep.ca,lincoln-prep
M&R Basketball,"Markham/Ajax, ON",NPH-SL+NSC,2,info@mandrbasketball.ca; 647-927-7091,m-r-basketball
"MBA (likely MUMBA, Markham — verify)","Markham, ON",NPH-D1+NPH-SL,2,647-945-6945,
Oakville Vytis,"Oakville, ON",JUEL+NPH-SL,2,IG @oakvillevytis,
Ottawa Elite (OYBA),"Ottawa, ON",NPH-D1+NPH-SL,2,Contact form; IG @ottawa_elite,ottawa-elite
PDM Basketball,"Oakville, ON",NPH-D1+NPH-SL,2,admin@pdmbasketball.com; 647-637-3859,pdm-basketball
Polaris Prep,Burlington,NPH-D1+OSBA,2,polarisprepacademy@gmail.com,polaris-prep
Project Excellence,"Scarborough, ON",NJC+NSC,2,647-705-0217; inquiry form,
RWI519 (RUN WITH It Basketball),SW Ontario (519),NJC+NPH-SL,2,rwibasketball@gmail.com; IG @rwi519,
SBA Blues,Scarborough,JUEL+OBL,2,,scarborough-basketball-association-sba
SBA Premier (Scarborough Basketball Association),"Scarborough, ON",NJC+NSC,2,416-551-7554; contact form,
Southwest Academy,London,NPH-D1+OSBA,2,Form only · IG @swacademywbb,southwest-academy
SSF Blizzard (Séminaire Saint-François),"Saint-Augustin-de-Desmaures, QC",NJC+NSC,2,FB @BlizzardBasketballSSF,
St. Jude's Prep,Mississauga,NPH-D1+OSBA,2,admissions@stjudesacademy.ca · 905-814-0277,
Ste Cecile Academy (Windsor),"Windsor, ON",NPH-D1+NSC,2,info@stececile.ca; 519-969-1291,
Tall Pines Academy,Brampton,NPH-D1+OSBA,2,info@tallpinesschool.com · 905-458-6770,
Tru Balance,"GTA (likely), ON",NJC+NPH-SL,2,IG @trubalancehoops,
Uchenna Academy,Toronto (950 Dupont),NPH-D1+OSBA,2,info@uchenna.ca · 416-855-5572,
West United Prep,Ontario (city unconfirmed),NPH-SL+NSC,2,IG @westunitedprepacademy,west-united
506 Elite Jr Academy,"Moncton/Irishtown, NB",NJC,1,(506) 378-2880; IG @the506elite,
AAA Academy,,NPH-D1,1,,
Ace Acumen Heights Academy,Toronto (Don Mills) + Brampton,OSBA,1,admissions@aahs.ca · 416-756-7227,
AD Rebelles (assoc. Louis-Riel),Ottawa (Gloucester),OSBA,1,613-590-2233 · IG @lracademyprep,
Alma Prep,,NPH-D1,1,,
B1CE London,,NPH-D1,1,,
BALL905 Elite,"GTA (905), ON",NPH-SL,1,IG @ball905rep (site contact page compromised — use IG),ball905-elite
Barrie Buccaneers,"Barrie, ON",NPH-SL,1,Contact form; IG @barriebuccaneers,
Barrie Royals,Barrie,Coalition,1,,
Blessed Sacrament,Toronto,Coalition,1,,blessed-sacrament-basketball
Blessed Sacrament CYO (Yellow Jackets),"Hamilton, ON",NPH-SL,1,blessedscyo@gmail.com,
Brampton Warriors,Brampton,Coalition,1,,brampton-warriors
Brantford CYO Hawks,"Brantford, ON",NPH-SL,1,brantfordcyoboys@gmail.com,
Burlington Force (Burlington Basketball),"Burlington, ON",NPH-SL,1,Operations@BurlingtonBasketball.ca; 905-220-3735,burlington-force-elite
Burlington Hoops Academy,"Burlington/Oakville, ON",NPH-SL,1,Contact form; IG @burlingtonhoopsacademy,
Burloak Elite,"Burlington, ON",NPH-SL,1,info@burloakbasketball.com; 416-219-4939,burloak-elite
Cambridge International Academy,Whitby (300 Water St),OSBA,1,info@cambridgeinternationalacademy.ca · 905-426-4254,
Canada Central Prep,,NPH-D1,1,,
Canadian Private School,,NPH-D1,1,,
Cathedral,,NPH-D1,1,,
CE23 Academy,"Paradise, NL",NPH-SL,1,team@ce23basketball.com,ce23-academy
Collective Elite Academy,"Brampton, ON",NJC,1,info@thecollectiveelite.ca,elite-academy
Colts Prep (Bill Crothers SS),Markham (Unionville),OSBA,1,IG @coltsprepwbb,
Cooksville We>Me 2030,"Mississauga, ON",NJC,1,IG @cooksville2030,
Crestwood Preparatory College (+ Blue),Toronto (North York),OSBA,1,416-391-1441,crestwood-prep
DEl1te,"Winnipeg, MB (verify)",NPH-SL,1,delitewpg@gmail.com; IG @delite_mbb,
DFA Academy,Toronto? (tentative),NPH-SL,1,IG @dfa_basketball (tentative),dfa-academy
Dundas Dynamo,"Dundas (Hamilton), ON",NPH-SL,1,basketballdundas@gmail.com; 905-628-4966,dundas-dynamo
Durham Gators,"Durham Region, ON",NPH-SL,1,— (portal only),durham-gators
Durham Rising Suns,Durham,Coalition,1,,
"Dynamic Basketball (DBDA, probable)","Toronto, ON",NSC,1,dynamicbball@gmail.com; 416-994-1676,
Dynastie (ACD),,NPH-D1,1,,
Edge Varsity,,NPH-D1,1,,
Elton Academy,"Richmond Hill, ON",NSC,1,info@eltonacademy.ca; 905-731-0505,
EM Elite,Not found,NPH-SL,1,—,
Etobicoke,Toronto,Coalition,1,,
Eurostep Basketball,"Etobicoke, ON",NPH-SL,1,647-879-8344; form (55 Horner Ave),eurostep-basketball
F.O.R.M. Basketball Academy,"Vancouver, BC",NSC,1,coaches@formbasketball.com,f-o-r-m-basketball-academy
First Step Elite,"K-W/519, ON",NPH-SL,1,IG @firstepbball,first-step-elite
Fitz Youth,,NPH-D1,1,,
Fundamentals First,Not found,NPH-SL,1,—,fundamentals-first
Gators Basketball Academy,"Markham/Richmond Hill/Durham, ON",NSC,1,contactgatorsacademy@gmail.com; 647-206-3730,gators-basketball-academy
Grassroots Niagara (Blueprint),"Niagara Region, ON",NPH-SL,1,blueprint_training@hotmail.com; 905-714-5520,grassroots-niagara
GT Elite,"GTA?, ON",NPH-SL,1,IG @gtelite_basketball,
GYBA Gryphons (Guelph Youth Basketball),"Guelph, ON",NPH-SL,1,administration@guelphbasketball.com,
H5 Academy (High Five Foundation),Toronto (725 Bathurst),OSBA,1,h5academy@h5f.ca,h5-academy
Hamilton Elite,"Hamilton, ON",NPH-SL,1,IG @hamiltoneliteteam,hamilton-elite-prep
Hamilton Transformation Academy,"Hamilton, ON",NPH-SL,1,IG @htabasketball,
HoopHer,"GTA (Vaughan events), ON",NPH-SL,1,Contact form,
Hooptrotters OGs,"GTA, ON",NPH-SL,1,—,
Ignite Academy,Unresolved,NJC,1,—,
Inspire Academy (YAAACE),Toronto (North York),OSBA,1,info@yaaace.com · 416-567-7994,
JCC Maccabi Warriors,Toronto,Coalition,1,,
JUMP Basketball,Mississauga,OBL,1,,jump-basketball
K-W Vipers,Kitchener-Waterloo,Coalition,1,,
K9 Elite Hoopers,"GTA, ON",NPH-SL,1,infok9elite@gmail.com; IG @K9Elitehoopers,k9-elite
King's Christian Collegiate,Oakville,OSBA,1,office@kingschristian.ca · 905-257-5464,king-s-christian-collegiate
Kingston Impact,Kingston,JUEL,1,,kingston-impact
Lead2Greatness,"GTA, ON",NPH-SL,1,IG @lead2greatness,lead2greatness
Lo-Ellen Park Prep,Sudbury,OSBA,1,705-522-2320 · X @LEPPrep,
London Ramblers,"London, ON",NJC,1,ramblercoach@gmail.com; 519-850-4318,
Louis-Riel Academy (CEPEO),Ottawa (Gloucester),OSBA,1,louis-riel@cepeo.on.ca · 613-590-2233,
Malton Sting Basketball,"Mississauga (Malton), ON",NPH-SL,1,maltonsting.bc@gmail.com,
Markham Gators,Markham,OBL,1,,
MC Elite,"Toronto, ON",NPH-SL,1,IG/X @mcelitebball,mc-elite
Momentum Basketball (Momentum Sports Group),"Toronto (Don Mills), ON",NPH-SL,1,info@momentumsportsgroup.ca,momentum-basketball
NDL,,NPH-D1,1,,
Niagara Prep (A.N. Myer SS),Niagara Falls,OSBA,1,info@niagaraprepbasketball.com,niagara-prep
North Bay Basketball Academy,North Bay,OBL,1,,
North Toronto (NTBA),Toronto,Coalition,1,,north-toronto-basketball-association-ntba
North Toronto Huskies (NTBA),"Toronto, ON",NPH-SL,1,NTBARegistrar@bell.net,
North York Lions (PBAA),"North York, ON",NPH-SL,1,info@pbaa.ca; 1-888-489-6441,north-york-lions
Norwood Stars,Unconfirmed (ON),NPH-SL,1,norwoodstarsbasketball@gmail.com (verify); IG @norwoodstars_basketball,norwood-stars
NRBA,Niagara,Coalition,1,,
NSE Select Academy,Not found,NJC,1,—,
Oakville Panthers,"Oakville, ON",NPH-SL,1,chad@oakvillepanthers.com; 647-405-2423,oakville-panthers
Ontario Elite,,OBL,1,,
Orangeville Prep (Athlete Institute) — Varsity,"Mono/Orangeville, ON",NSC,1,info@orangevilleprep.com; 519-940-3735,orangeville-prep
Orangeville Prep / Varsity (Athlete Institute),Mono (Orangeville),OSBA,1,info@orangevilleprep.com · 519-940-3735,orangeville-prep
Orillia Lakers,"Orillia, ON",NPH-SL,1,vicepresident@orillialakers.com,
Ottawa Capitals,Ottawa,JUEL,1,,
Ottawa Prospects,"Ottawa, ON",NPH-SL,1,IG @ottawaprospects,
Pelham,Pelham,Coalition,1,,
Pelham Panthers,Niagara,JUEL,1,,pelham-panthers
Prolific Sports Academy,,NPH-D1,1,,
Redmond Basketball (Father John Redmond CSS),Toronto (Etobicoke),OSBA,1,IG/X @redmondosba,
Retro Elite (Retro Basketball Academy),"Oakville/Mississauga/Brampton, ON",NPH-SL,1,retrobasketballacademy@gmail.com; 647-904-3420,retro-elite
Richmond Hill Ascend Prep,Richmond Hill,OSBA,1,IG @ascend_prep,
Ridley College,St. Catharines,OSBA,1,admissions@ridleycollege.com · 905-684-1889,ridley-college
RSB Elite (RSB Association),"GTA, ON",NJC,1,rsbelite@gmail.com; 289-981-0564,rsb-elite
Scarborough Blues (SBA),Scarborough,Coalition,1,,
SCI Spartans,Not found (likely a school),NJC,1,—,
Silver Knights,,Coalition,1,,
St. Lawrence Lightning,Brockville,JUEL,1,,
Stags,,Coalition,1,,
Strive Hoops,"London, ON",NJC,1,strivehoopslondon@yahoo.com; 519-495-3989,strive-hoops
TC Soldiers (Tri-County Soldiers),"K-W/Cambridge/Guelph, ON",NPH-SL,1,elopez@soldiersbasketball.ca; 519-498-2703,tc-soldiers
Team CB / CB Elite,Unresolved (Montreal cbelite.ca exists),NPH-SL,1,—,cb-elite
Team Sanctuary (Sanctuary Sports),"Scarborough, ON",NJC,1,contact@sanctuarysportcenter.ca; 416-826-3391,team-sanctuary
Team Thetford (Atelier 803),"Thetford Mines, QC",NSC,1,info@atelier803.ca,
The Conglomerate,Not found,NPH-SL,1,—,the-conglomerate
Thornhill Thunder,,NPH-D1,1,,
TLB,,Coalition,1,,
Top Left,Not found,NJC,1,—,
Tornades Basketball (likely Longueuil — verify),"Longueuil, QC",NPH-SL,1,tornadesbasketball@gmail.com,
Toronto Top Tier,"Etobicoke, ON",NPH-SL,1,torontotoptierhoops@gmail.com; 416-708-3508,toronto-top-tier
Toronto Triple Threat,Toronto,Coalition,1,,toronto-triple-threat
TPG Basketball,Brampton,OBL,1,,
Tri-County Soldiers,K-W/Cambridge/Guelph,JUEL,1,,
Triple Balance,"Scarborough + Durham, ON",NSC,1,Info@triplebalance.ca,triple-balance-academy
UEWB (Unite Everyone With Basketball),"GTA, ON",NJC,1,uewbcanada@gmail.com; IG @uewbcanada,
Underdog Elite,"GTA (likely), ON",NPH-SL,1,IG @underdogelite__ (verify),underdog-elite
Union Elite,"Ajax/Durham, ON",NPH-SL,1,info@unionelitebasketball.com; 647-963-5483,
Victory Prep,,NPH-D1,1,,
"Victory Prep Academy (East, West)",Brampton,OSBA,1,IG @victoryprepbrampton,
West Ottawa Basketball Association,"Ottawa (Kanata/Stittsville), ON",NPH-SL,1,westottawabasketball@gmail.com,
YASO Basketball Academy,"Oakville, ON",NPH-SL,1,yasobasketballacademy@gmail.com; 905-616-7342,
YvY Elite (You vs You),"Waterloo/Kitchener/Guelph, ON",NPH-SL,1,yvybball@gmail.com; IG @yvyelitebasketball,yvy-elite
École St-Gabriel,,NPH-D1,1,,
