Club Name,Province,Region,City,Address,Phone,Email,Website,Owner/Principal,Programs,Leagues,Team-League Map,Type,Software,Confidence,Source,Notes
Club de Basket-ball Panthers de Sherbrooke (Panthers Basketball),Quebec,"Estrie, QC",Sherbrooke,"305 rue Don-Bosco Nord, Sherbrooke, QC",873-662-3349,panthersselectsherbrooke@gmail.com,https://pantherssherbrooke.com/,Nathan Lévesque — director general & coach; Sébastien Labbé — management & development,Mini-Panthers intro (12 sessions); Panthers Development (26 sessions); competitive/select teams U15-U17 male and female,,"Competitive teams play tournament circuit: Challenge Hope, Crossover Challenge, Brookwood Invitational, plus Zero Gravity events (USA) — per club site",community nonprofit (select/rep program),Zeffy (payments/registration),verified,https://pantherssherbrooke.com/,
DOD Basketball / Club de Basket-Ball de Saint-Léonard (EMBC Avatars),Quebec,Greater Montréal — Montréal,Montréal (Saint-Léonard),"6185 Rue Jarry, Montréal, QC H1P 1W1",514-885-8176,info@dod-basketball.com,https://dod-basketball.com/,Beverley Jacques — contact (PSO registry),Novice to juvénile boys (PSO); training camps with ABEIM at Académie Dunton; east-end Montreal youth,,,community nonprofit,,verified,https://macommunaute.ca/bottin-des-organismes/clubdebasketballdesaintleonard/,PSO Montréal PDF lists as 'DOD Basketball/EMBC Avatars'
Club de Basketball de l'Ouest — CBO Cavaliers (Cavaliers Île-Perrot),Quebec,Greater Montréal — Sud-Ouest,Notre-Dame-de-l'Île-Perrot (Vaudreuil-Soulanges),,514-774-1663,michel.bento@sympatico.ca,https://www.cavaliersbasketballouest.ca/,Michel Bento — contact/lead,"Jr. NBA (5-6, $200 incl. jersey), Development House League 7-17, competitive boys and girls teams novice to juvy",Montreal Basketball League (MBL); Ligue Basketball Québec (LBQ),Site states competitive teams play 'in the MBL or LBQ'; 'CBO Cavaliers' on MBL team pages,community nonprofit,,verified,https://www.cavaliersbasketballouest.ca/programs,
Phénix Basketball (Mini-Basket Phénix / Phénix de Nicolas-Gatineau),Quebec,"Outaouais, QC",Gatineau,École Polyvalente Nicolas-Gatineau,819-208-7860,jeanduch@live.ca,https://phenix-basketball.kreezee-sports.com/,Jean Duchesne — program lead (BQ registry contact for both the club and Nicolas-Gatineau),"Community mini-basket (novice & mini, boys and girls) feeding from ~15 primary schools of the Draveurs school-board sector; coached by Nicolas-Gatineau students; elite school program secondary D1-D3",,,school-affiliated community mini-basket program,Kreezee (club microsite),primary,https://www.publicationsports.com/ressources/files/737/Outaouais.pdf,Listed in BQ 'Où jouer' registry as a civil club (novice/mini). Varsity Phénix teams are RSEQ school sport (out of scope); the mini-basket community arm is the includable piece. phenixbasketball.ca DNS-dead.
Team Thetford Basketball (Académie de basketball de Thetford),Quebec,Chaudière-Appalaches,Thetford Mines (Saint-Joseph-de-Coleraine),,,,https://www.facebook.com/team.thetford.basketball/,Igor Rwigema — founder (academy est. ~2014; later head coach of Montréal Toundra; current leadership not published),Boarding basketball academy (~50 student-athletes/yr) paired with Polyvalente de Thetford Mines and Cégep de Thetford; three civil elite teams; academic support through university entry,Elite circuits in the United States and Ontario (prep circuits — specific circuit names not published),Its 3 civil teams compete in elite US/Ontario circuits outside the Quebec school network,private academy,,primary,https://ici.radio-canada.ca/sports/1499204/academie-pepiniere-quebecoise-basketball-thetford-mines-documentaire,"Best-known Quebec basketball academy outside Montreal (alumni incl. Chris Boucher, Quincy Guerrier); subject of the documentary 'L'Académie'."
Homenetmen-GAMK Montreal (Union Générale Sportive Arménienne),Quebec,Greater Montréal — Montréal,Montréal,,438-863-1017,leon.arabian@gmail.com,,Leon Arabian — contact,Armenian community multi-sport club with basketball teams,,,multi-sport org,,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,
Montreal Community Cares Foundation / Red Rush Basketball,Quebec,Greater Montréal — Lac St-Louis,Montréal (LaSalle),,514-816-6232,dreid@montrealcommunitycares.com,http://www.montrealcommunitycares.com,Denburk Reid — founder,"Benjamin to ouvert, boys and girls; leadership/mentorship programming",,,community nonprofit,,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,'Red Rush' in PSO Lac St-Louis PDF
Rebels Rive-Nord (Rebels-Rebelles Basketball Association),Quebec,Greater Montréal — Laurentides,Blainville,Basketball complex in Blainville (street address not published),514-962-8967,rebelsrivenord@gmail.com,https://rebelsrivenord.com/,Maude Constantin and Vincent Ciccariello — leaders (site + Basketball Québec contact),"Own youth league (Mini-Rebels ages 5-15), adult divisions, parent-child, selection camps, summer day camps, competitive U11/U13/U15 boys and girls teams, Rebels Cup tournament, private training; 10+ years operating",Ligue Jeunesse Rebels (LBRRNJ) / Mini-Rebels,Rec/youth teams in own Ligue Jeunesse Rebels; competitive U11-U15 teams under Rebels-Rebelles Basketball Association (RAMP site),community nonprofit,Matchflow (league registrations/scheduling); Hudl (video); RAMP InterActive (competitive association site),verified,https://rebelsrivenord.com/,"Self-described largest basketball league on the Rive-Nord; three web properties (rebelsrivenord.com, rebelsrebellesbasketball.com; rebellesrivenord.com now dead DNS)"
Club de basketball jeunesse Saint-Lin-Laurentides (Titans),Quebec,"Lanaudière, QC",Saint-Lin-Laurentides,,514-207-1777,titanbasketballstlin@gmail.com,https://titanbasketballstlin.com,Claud-Eric Jean-Paul — contact/head per Basketball Québec regional registry,"Recreational ages 4-7, 8-9, 10-11, 12-13, 14-17 and adults 18+; competitive 10-11, 12-13, 14-17; summer camps; 100+ players (2025); draws from Laval, Terrebonne, La Plaine, Rawdon, St-Lin",Ligue rive-nord de Montréal (as published on club site),Competitive teams (10-17) play in the 'Ligue rive-nord de Montréal' per club site — possibly the Rebels Rive-Nord youth league already mapped; not confirmed,community club,Google Forms,verified,https://titanbasketballstlin.com,Smaller-town Lanaudière club captured per sweep instruction. | Also listed as: Club de Basketball Jeunesse Saint-Lin-Laurentides (Titan)
Celtics EMB de Saint-Barnabé-Sud (Entraînement Mario Beaulac),Quebec,"Montérégie (Richelieu-Yamaska), QC",Saint-Barnabé-Sud (Saint-Hyacinthe area),,450-771-1757,beaulac98@hotmail.com,https://entrainementmb.com,Mario Beaulac — owner/founder (business founded 2005); tournament co-organizer,Civil youth basketball program (Celtics EMB) serving Montérégie ~7 years — mini and benjamin teams M+F; competitive & development basketball; sports camps (basketball/soccer/volleyball); physical prep; co-organizes Tournoi invitation de basketball maskoutain with ESSJ Patriotes,,Mini féminin compétitif team won 2024 Tournoi maskoutain; reached final of provincial St-Ex tournament vs an LBQ mini-AAA team (Celtics' own league membership not published),private academy / training business with civil club program,,verified,https://entrainementmb.com,
Basketball St-Laurent (Comité de basketball Saint-Laurent),Quebec,Greater Montréal — Lac St-Louis,Montréal (Saint-Laurent),"1375 rue Grenet, Saint-Laurent, Montréal, QC",514-570-2929,info@basketballstlaurent.com,https://basketballstlaurent.com/,Maria Sareyeddine — contact (Basketball Québec); Michael Roy — contact (PSO PDF),"House league (Ligue Maison), InterCity competitive, adaptive program, summer league, camps; roughly ages 5-17",Basketball St-Laurent Ligue Maison; Montreal Basketball League (MBL),Rec teams in own Ligue Maison; intercity teams as 'St-Laurent Lynx' in MBL,community nonprofit,KayPic (register.kaypic.com); WordPress site,verified,https://basketballstlaurent.com/,
Association de basketball de l'est de l'île de Montréal (ABEIM),Quebec,Greater Montréal — Montréal,Montréal (east end),,,,,,Training camps for east-Montreal youth (with DOD/Club St-Léonard at Académie Dunton),,,community nonprofit,,reported,https://journalmetro.com/local/saint-leonard/598498/un-camp-de-formation-en-basketball-pour-les-jeunes-de-lest-de-montreal/,News-sourced only; may operate mainly through partner clubs
FCAWI (Filipino Community Association of the West Island),Quebec,Greater Montréal — Lac St-Louis,Dollard-des-Ormeaux,,514-791-0738,jrlingon@gmail.com,http://www.fcawi.ca/,Janvier Josh Lingon — basketball contact,"Community basketball for Filipino community, West Island",,,multi-sport org,,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,
Association de basketball de Trois-Rivières (ABBTR – Storm),Quebec,Mauricie,Trois-Rivières,"6455 rue Notre-Dame Ouest, Trois-Rivières, QC",819-383-5258,abbtr.storm@gmail.com,https://www.facebook.com/ABBTR.STORM,David Dupont — contact in Basketball Québec directory; Lanré AdéSanya also listed in PSO PDF (roles unspecified),"Promotes/develops youth basketball ages 8-12 (novice & mini, boys and girls per PSO PDF)",,,community nonprofit,,verified,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/mauricie.html,Registered in Ville de Trois-Rivières organism directory
Philippine Basketball Association of Montreal (PBAM),Quebec,Greater Montréal — Montréal,Montréal,,514-586-1526,jose.maguigad@gmail.com,http://www.pbam.ca,Jose (Jake) Maguigad — contact/organizer,"All categories, Filipino community youth and adult",,,community nonprofit,,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,Also in PSO Montréal PDF
Association de basketball Némésis (Nemesis Basketball),Quebec,Greater Montréal — Lanaudière,Terrebonne / Mascouche,,1-888-569-2268,info@nemesisbasketball.com,https://nemesisbasketball.com/,Yvena Henry — contact (Basketball Québec); Milder Dorvil — contact (PSO PDF); founded 2017,"Rec 4-7, 12-13, 14-17; competitive 8-17 registered in regional and provincial leagues; elite program; 6-week day camps; free community sessions",,Competitive teams 'registered in regional and provincial leagues' (specific leagues not published),community nonprofit,Amilia (store: basketball_nemesis),verified,https://nemesisbasketball.com/,"Encountered in the Lanaudière PSO sweep; Terrebonne is Montreal north shore, so may overlap with a couronne-nord census — dedupe. | Also listed as: Association de basketball Némésis"
Académie Féminine Tempête de l'Arctique — ASLA Basketball,Quebec,"Lanaudière, QC",Terrebonne,,514-757-5300,acad.femininetempetedelarctique@gmail.com,,Nadine Devalis — Basketball Québec registry contact,Girls basketball academy,,,private academy (girls-focused),,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/lanaudiere.html,PSO registry entry only; possible overlap with Rive-Nord tranche.
Hope Basketball Québec (École Hope Basketball Québec Inc.),Quebec,Capitale-Nationale,Québec City,"336 rue de la Parmentière, Québec, QC G1C 8H4 (per Quebec business registry)",418-998-2223,info.hopebasketballquebec@gmail.com,https://hopebasketballquebec.proinscription.com/,Christian Savard — contact in Basketball Québec directory (role unspecified; company registered 2019),"Basketball school: in-school programs (e.g. École de l'Escabelle grades 4-6), summer camps (weekly August sessions), training; organizes the Challenge Hope Basketball tournament (with Rouge et Or branding)",,,private academy,ProInscription (hopebasketballquebec.proinscription.com),verified,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/quebecchaudiere-appalaches.html,Registered Sept 2019 as basketball academy business | Also listed as: Hope Basketball Québec inc.
Association de Basketball de Châteauguay (CBA Ravens),Quebec,Greater Montréal — Sud-Ouest,Châteauguay,,438-888-9657,treasurer@cbaravens.com,https://www.cbaravens.com/,Marie-Noelle Roussin — treasurer (Basketball Québec contact); William Toussaint — contact (PSO PDF); founded 1981,"Ages 5-17: recreational D-League (Novice 7, Novice 8-9, Mini, Bantam), competitive/intercity program with tryouts, summer day camp",Montreal Basketball League (MBL),Intercity teams as 'Chateauguay Ravens' in MBL; rec in own D-League,community nonprofit,Amilia (app.amilia.com store),verified,https://www.cbaravens.com/%C3%A0-propos-de-nous,40+ years in the community
Club de basketball de Chicoutimi (Noir et Or / Mustangs),Quebec,Saguenay–Lac-Saint-Jean,Saguenay (Chicoutimi),,418-698-3231,benoit.vallieres@noiretor.com,https://noiretor.com/,Benoit Vallières — PSO-listed club contact (cell 418-592-7279); founded 1971 by Claude Paquet (phys-ed teacher),"Mini-basket and competitive basketball for girls and boys ages 6-17; recreational streams; annual mini-basketball festival; ~8,000 youth served since 1971","RSEQ Saguenay–Lac-St-Jean (school-linked Mustangs teams — school circuit, noted for context)",Mustangs secondary teams → RSEQ regional leagues/provincial championships (school arm); civil arm runs mini-basket,community nonprofit,,verified,https://noiretor.com/Informations,"Mini-basket registrations fill up (limited places, priority to Chicoutimi children per 2025-26 Facebook post). | Also listed as: Club de Basketball de Chicoutimi (Noir et Or)"
West Island Lakers Basketball Association (WILBA),Quebec,Greater Montréal — Lac St-Louis,Pointe-Claire (West Island),"PO Box 46043, Pointe-Claire, QC H9R 5R4",514-294-7394,info@wilba.net,https://www.wilba.net/,Anthony Metrakos — president (president@wilba.net),"House league, Jr. NBA (5+), Academy levels 1-4, 9 intercity teams; mini to juvenile boys and girls; ~1,000 members; est. 1960s",Montreal Basketball League (MBL),9 intercity teams in MBL; rec plays in-house,community nonprofit,TeamSnap ('Powered by TeamSnap' site),verified,https://www.wilba.net/,TeamSnap = direct competitive-platform intel
Panthers Basketball (Panthers Select Sherbrooke),Quebec,"Estrie, QC",Sherbrooke,"305 rue Don-Bosco Nord, Sherbrooke, QC",873-662-3349,panthersselectsherbrooke@gmail.com,https://pantherssherbrooke.com/,Nathan Lévesque — directeur général & coach; Sébastien Labbé — direction & développement,"Mini-Panthers (Jr. NBA partnership, 12 x 1h sessions for young children); Panthers Développement skills program (26 x 1.5h, $400+tx); competitive U15/U16/U17 boys and girls","Zero Gravity (ZG) circuit (US AAU-style); Quebec tournaments (Crossover Challenge, Brookwood Invitational, etc.)",U15-U17 M/F select teams travel to the US-based Zero Gravity circuit plus Quebec tournaments; Mini-Panthers is an in-house Jr. NBA program,community nonprofit (OBNL) running an elite/select program,Zeffy,verified,https://pantherssherbrooke.com/,Corporate partner: Cascades. Uses Zeffy (free nonprofit payments) — competitive intel.
Granby Multi-Sports (programme Basketball Indigo),Quebec,"Montérégie (Haute-Yamaska), QC",Granby,"601 rue Léon-Harmel, Granby, QC J2G 3G6",450-776-8350,info@gmsgranby.org,https://granbymultisports.ca/activite/mini-basket/,,"Youth basketball courses adapted to skill level ('Basketball Indigo', next registrations fall 2026); also adult drop-in basketball ($10/session) at École J.-H.-Leclerc; carte-loisirs discounts for under-17s",,,multi-sport org (community nonprofit),City registration portal inscriptions.granby.ca,primary,https://granbymultisports.ca/activite/mini-basket/,No standalone youth basketball club found in Granby — youth basketball runs through this multi-sport org plus the Cégep's Mini-Indigo camps. Granby is a gap market.
Association de Basketball Roussillon (ABR Lions),Quebec,Greater Montréal — Rive-Sud (Roussillon),Candiac / Delson / La Prairie,,514-946-3404,cpierre30@gmail.com,https://abrlions.com/,Christopher Pierre — contact/lead,Community youth basketball for Roussillon MRC towns,,,community nonprofit,,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/rive-sud.html,
Association du basketball mineur de Baie-Comeau,Quebec,Côte-Nord (eastern Quebec),Baie-Comeau,"19, avenue Marquette, Baie-Comeau, QC G4Z 1K5",,abmbc01@gmail.com,https://www.facebook.com/profile.php?id=100076065697206,,Minor basketball (youth),,,community nonprofit,,primary,https://www.ville.baie-comeau.qc.ca/organisme/association-du-basketball-mineur-de-baie-comeau/,Only civil basketball club found on the Côte-Nord; Sept-Îles relies on RSEQ school sport (no civil club found).
Association de Basketball Amateur des Basques,Quebec,Bas-Saint-Laurent,Trois-Pistoles,,418-863-3167,basketdesbasques@gmail.com,,Samuel Dionne — contact in Basketball Québec directory (role unspecified),,,,community nonprofit,,primary,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/est-du-quebec.html,Serves Les Basques MRC (small town between Rivière-du-Loup and Rimouski)
Association de Basketball Pagé (PAGÉ Basketball),Quebec,Greater Montréal — Montréal,Montréal (Villeray–Saint-Michel),,(514) 268-9347,pierre.al@csdm.qc.ca,https://pagebasketball.com/,Alder Pierre — program head / Basketball Québec + PSO listed contact,"Novice to juvénile, boys and girls; grew out of the Lucien-Pagé / Montréal-Concordia school program (PAGÉ Basketball since 2010)",Montreal Basketball League (MBL),AAA and girls teams listed under 'Page' on basketballmontreal.org Équipes pages,community nonprofit,,verified,https://pagebasketball.com/histoire/,MBL founding-family club; publicationsports.com/ressources/files/737/Montreal.xlsx.pdf (PSO registry) lists it
Association de Basketball de Saint-Bruno (ABSB),Quebec,Greater Montréal — Rive-Sud,Saint-Bruno-de-Montarville,,514-984-2039,info@absb.ca,https://absb.ca/,François Bibeau — contact (Basketball Québec); Pierre Labelle — contact (PSO PDF),"Petit basket to juvénile, boys and girls; beginner to experienced",,,community nonprofit,,verified,https://absb.ca/association/,
Club de basketball Révolution des Laurentides,Quebec,Greater Montréal — Laurentides,Terrebonne / Rosemère,,514-867-1205,directeurgeneral@revolutionbasket.com,https://www.revolutionbasket.com/,"Jonathan Leclerc — directeur général; Pascal Fleury — contact (PSO PDF, runs camps)","Initiation 4-7, development league, competitive teams mini to juvénile boys and girls, Camp Perfo+, Pascal Fleury camps, Jeux du Québec regional program",Montreal Basketball League (MBL),'Revolution' teams in MBL,community nonprofit,Spordle (site on erp.spordle.com platform),verified,https://www.revolutionbasket.com/fr/index.html,
